CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ASES,VECES_ASES,CREDITOS_ASES,NOTA_TOP,VECES_TOP,CREDITOS_TOP
3,17,8,9,4,3,3,2,3,33,30,3,3,0,0,3,0,0,3,35,1,2,26,6,3,38,4,3
0,17,5,12,2,2,4,2,3,0,0,0,3,30,1,3,0,0,3,40,1,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,38.05555556,50,1,3,35,1,3,30,1,3,40,1,2,30,1,3,35,2,3
0,17,2,15,3,1,5,2,3,0,15,1,3,0,0,3,0,0,3,40,1,2,0,0,3,25,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,35.16666667,40,1,3,30,1,3,30,1,3,37,1,2,30,1,3,30,2,3
1,17,17,0,6,6,0,2,3,33.16666667,45,3,3,30,1,3,30,1,3,40,1,2,30,1,3,30,1,3
1,17,17,0,6,6,0,1,1,35.27777778,50,1,3,30,1,3,35,1,3,35,1,2,30,1,3,30,2,3
3,17,17,0,6,6,0,2,3,33.11111111,30,1,3,30,1,3,30,3,3,40,1,2,30,2,3,35,2,3
0,17,0,17,3,0,6,2,3,0,15,1,3,0,0,3,0,0,3,0,0,2,15,1,3,20,1,3
2,17,17,0,6,6,0,1,1,34.72222222,35,2,3,40,2,3,30,1,3,35,1,2,30,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,35.66666667,50,1,3,35,1,3,30,1,3,40,1,2,40,1,3,40,1,3
2,17,17,0,6,6,0,2,3,32.8,32,3,3,30,1,3,31,2,3,39,1,2,30,1,3,30,1,3
1,17,17,0,6,6,0,1,1,37.88888889,40,1,3,35,2,3,30,1,3,35,1,2,30,1,3,30,1,3
2,17,17,0,6,6,0,2,3,35.5,45,1,3,30,2,3,30,3,3,30,1,2,35,1,3,35,1,3
2,17,17,0,6,6,0,1,1,33.27777778,30,2,3,39,1,3,38,2,3,40,1,2,36,1,3,35,1,3
4,17,11,6,6,4,2,2,3,28.5,35,3,3,31,3,3,19,4,3,30,1,2,9,2,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
