CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_FOTO,VECES_FOTO,CREDITOS_FOTO,NOTA_SUELOS,VECES_SUELOS,CREDITOS_SUELOS
1,17,17,0,6,6,0,1,1,36.38888889,50,1,1,35,1,3,35,1,3,35,1,3,35,1,3,40,1,2,35,1,3
2,17,14,3,6,5,1,2,3,33.33333333,45,1,1,0,0,3,0,0,3,0,0,3,35,1,3,30,1,2,30,1,3
0,17,17,0,6,6,0,1,1,32.11111111,30,1,1,30,1,3,32,1,3,31,1,3,30,1,3,37,1,2,35,2,3
2,17,6,11,4,2,4,2,3,38,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,41,1,2,36,2,3
2,17,17,0,6,6,0,1,1,32.55555556,45,1,1,35,1,3,30,1,3,30,2,3,32,2,3,35,1,2,30,1,3
2,17,17,0,6,6,0,1,1,34.72222222,45,1,1,35,1,3,30,1,3,30,1,3,40,1,3,35,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,1,1,33.05555556,40,1,1,30,1,3,30,1,3,30,2,3,30,1,3,45,1,2,35,1,3
1,17,17,0,6,6,0,1,1,40,45,1,1,45,1,3,30,1,3,0,0,3,40,1,3,45,1,2,40,1,3
3,17,17,0,6,6,0,2,3,35.94444444,45,1,1,50,1,3,36,1,3,30,1,3,34,1,3,31,1,2,30,1,3
0,17,17,0,6,6,0,1,1,37.22222222,45,1,1,45,1,3,30,1,3,35,1,3,45,1,3,35,1,2,30,1,3
1,17,17,0,6,6,0,1,1,33.33333333,45,1,1,30,1,3,30,1,3,30,1,3,30,1,3,45,1,2,35,1,3
