CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,11,6,5,4,1,2,2.16667E+14,30,1,3,0,0,3,39,1,2,41,1,3,34,1,3,28.5,2,3
0,17,17,0,6,6,0,1,30.5,37,1,3,36,1,3,48,1,2,40,1,3,34,1,3,33,1,3
1,17,17,0,6,5,1,1,7.33333E+14,36,1,3,32,1,3,43,1,2,33,1,3,37,1,3,32.5,2,3
2,17,11,6,6,4,2,1,2.66667E+14,35,1,3,28,2,3,37,1,2,42,1,3,29,1,3,31,2,3
3,17,2,15,4,1,3,2,0,23,2,3,0,0,3,37,1,2,25,2,3,0,0,3,17.5,2,3
0,17,17,0,6,6,0,1,30.5,35,1,3,36,1,3,43,1,2,42,1,3,34,1,3,32,1,3
2,17,3,14,3,1,2,2,0,8,2,3,0,0,3,0,0,2,50,1,3,0,0,3,12,2,3
0,17,17,0,6,6,0,1,31.5,40,1,3,39,1,3,42,1,2,39,1,3,34,1,3,38,1,3
1,17,3,14,2,1,1,2,0,0,0,3,0,0,3,0,0,2,30,1,3,0,0,3,15.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,0,17,3,3,0,2,0,2,1,3,0,0,3,10,1,2,9,1,3,0,0,3,0,1,3
0,17,2,15,4,4,0,2,0,8,1,3,0,0,3,34,1,2,20,1,3,0,0,3,4,1,3
0,17,17,0,6,6,0,1,6,35,1,3,30,1,3,38,1,2,30,1,3,30,1,3,37,1,3
0,17,12,5,5,5,0,2,5.66667E+14,43,1,3,31,1,3,0,0,2,45,1,3,30,1,3,28,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,17,0,6,6,0,1,2.76667E+14,45,1,3,34,1,3,41,1,2,40,1,3,34,1,3,33,1,3
1,17,8,9,6,5,1,2,1,30,1,3,5,1,3,35,1,2,33,1,3,19,1,3,16.5,2,3
0,17,17,0,6,6,0,1,4.67222E+14,49,1,3,49,1,3,50,1,2,47,1,3,40,1,3,48,1,3
1,17,11,6,5,4,1,2,2.16667E+14,34,1,3,0,0,3,38,1,2,39,1,3,32,1,3,28.5,2,3
1,17,5,12,5,4,1,2,2.33333E+14,19,2,3,17,1,3,30,1,2,30,1,3,0,0,3,13,1,3
1,17,8,9,4,3,1,2,0,29.5,2,3,0,0,3,37,1,2,43,1,3,0,0,3,10,1,3
2,17,11,6,6,4,2,2,2.5,32,1,3,8,1,3,31,2,2,31,1,3,30,1,3,27,2,3
0,17,8,9,4,4,0,2,2.77778E+14,33,1,3,0,0,3,41,1,2,48,1,3,0,0,3,21,1,3
0,17,17,0,6,6,0,1,8.11111E+14,37,1,3,36,1,3,45,1,2,40,1,3,38,1,3,33,1,3
0,17,17,0,6,6,0,1,2.77778E+14,30,1,3,37,1,3,39,1,2,46,1,3,32,1,3,31,1,3
1,17,17,0,6,5,1,1,7.44444E+14,30,1,3,30,1,3,40,1,2,33,1,3,34,1,3,30,2,3
2,17,5,12,4,2,2,2,2.61111E+14,17,2,3,0,0,3,36,1,2,38,1,3,0,0,3,26.5,2,3
0,17,11,6,5,5,0,2,2.55556E+14,30,1,3,26,1,3,37,1,2,36,1,3,0,0,3,30,1,3
3,17,8,9,5,2,3,2,2.22222E+14,16.5,2,3,31.5,2,3,37,1,2,30,1,3,0,0,3,28,2,3
0,17,11,6,5,5,0,2,2.72222E+14,35,1,3,17,1,3,37,1,2,30,1,3,0,0,3,30,1,3
0,17,17,0,6,6,0,1,2.22222E+14,38,1,3,30,1,3,33,1,2,30,1,3,36,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,11,6,6,5,1,1,8.08333E+14,24.5,2,3,28,1,3,37,1,2,44,1,3,32,1,3,30,1,3
0,17,17,0,6,6,0,1,3.53333E+14,48,1,3,44,1,3,43,1,2,44,1,3,37,1,3,43,1,3
0,17,8,9,6,6,0,2,2.61111E+14,13,1,3,35,1,3,42,1,2,42,1,3,28,1,3,21,1,3
0,17,17,0,6,6,0,1,2.67222E+14,32,1,3,35,1,3,42,1,2,38,1,3,34,1,3,36,1,3
0,17,11,6,4,4,0,2,2.77778E+14,30,1,3,0,0,3,40,1,2,38,1,3,0,0,3,31,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,5,12,4,2,2,2,2.61111E+14,27.5,2,3,0,0,3,33,1,2,42,1,3,0,0,3,24,2,3
1,17,14,3,6,5,1,2,6.61111E+14,32,1,3,22,1,3,46,1,2,31,1,3,31,1,3,31,2,3
0,17,8,9,6,6,0,2,2.61111E+14,22,1,3,20,1,3,41,1,2,39,1,3,33,1,3,27,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,5,12,3,2,1,2,1.94444E+14,19,2,3,0,0,3,33,1,2,30,1,3,0,0,3,0,0,3
1,17,11,6,6,5,1,2,2.77778E+14,36,1,3,15,1,3,38,1,2,38,1,3,36,1,3,27,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,14,3,6,4,2,1,2.5,36,1,3,26,2,3,39,1,2,41,1,3,33,1,3,31.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,8,9,4,2,2,2,2.61111E+14,36,1,3,0,0,3,31,1,2,31.5,2,3,0,0,3,24.5,2,3
1,17,12,5,4,3,1,2,0,38,1,3,30,1,3,0,0,2,43,1,3,0,0,3,33,2,3
1,17,0,17,1,0,1,2,2.61111E+14,21,2,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,8,9,5,3,2,2,8.11111E+14,21.5,2,3,21,1,3,39,1,2,33,2,3,30,1,3,0,0,3
1,17,8,9,4,3,1,2,2.66667E+14,22.5,2,3,0,0,3,36,1,2,30,1,3,33,1,3,0,0,3
0,17,17,0,6,6,0,1,2.79444E+14,33,1,3,33,1,3,48,1,2,38,1,3,35,1,3,36,1,3
3,17,6,11,5,2,3,2,2.77778E+14,17,2,3,19,2,3,0,0,2,38,1,3,32,1,3,17.5,2,3
0,17,2,15,3,3,0,2,2.44444E+14,24,1,3,0,0,3,35,1,2,0,0,3,0,0,3,19,1,3
1,17,11,6,5,4,1,2,1.03333E+14,43,1,3,31,1,3,45,1,2,0,0,3,31,1,3,29,2,3
0,17,17,0,6,6,0,1,25,40,1,3,35,1,3,41,1,2,35,1,3,34,1,3,38,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,5,12,4,2,2,2,2.77778E+14,17,2,3,0,0,3,37,1,2,31,1,3,0,0,3,23.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,17,0,6,5,1,1,1.83333E+14,30,1,3,34,1,3,38,1,2,32,1,3,31,1,3,29.5,2,3
0,17,3,14,1,1,0,2,2.22222E+14,0,0,3,0,0,3,0,0,2,36,1,3,0,0,3,0,0,3
0,17,14,3,5,5,0,2,2.38889E+14,33,1,3,30,1,3,34,1,2,39,1,3,0,0,3,31,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,2,15,6,6,0,2,2.16667E+14,21,1,3,13,1,3,32,1,2,19,1,3,23,1,3,22,1,3
1,17,2,15,5,4,1,2,0,6,1,3,0,0,3,40,1,2,5,1,3,19,1,3,22,2,3
2,17,2,15,4,2,2,2,1.66667E+14,14,2,3,0,0,3,38,1,2,3,1,3,0,0,3,21.5,2,3
1,17,11,6,6,5,1,1,2.55556E+14,34.5,2,3,25,1,3,38,1,2,39,1,3,30,1,3,28,1,3
0,17,14,3,6,6,0,1,8,33,1,3,30,1,3,37,1,2,32,1,3,28,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,5,12,4,2,2,2,0,16.5,2,3,0,0,3,41,1,2,33,1,3,0,0,3,14.5,2,3
2,17,6,11,2,0,2,2,0,31.5,2,3,0,0,3,0,1,2,29.5,2,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,8,9,5,4,1,2,2.72222E+14,37,1,3,0,0,3,41,1,2,47,1,3,29,1,3,27.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,8,9,4,4,0,2,0,31,1,3,16,1,3,42,1,2,30,1,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,8,9,6,4,2,2,2.61111E+14,4.5,2,3,19,2,3,42,1,2,39,1,3,27,1,3,30,1,3
0,17,8,9,4,4,0,2,2.61111E+14,13,1,3,0,0,3,40,1,2,43,1,3,0,0,3,30,1,3
1,17,11,6,6,5,1,1,2.61111E+14,36,1,3,22,1,3,37,1,2,39,1,3,33,1,3,27,2,3
2,17,3,14,3,1,2,2,0,10,2,3,0,0,3,0,0,2,39,1,3,0,0,3,19,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,5,12,4,2,2,2,7.77778E+14,19.5,2,3,0,0,3,43,1,2,37,1,3,0,0,3,22,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,12,5,5,4,1,2,9.83333E+14,38,1,3,32,1,3,0,0,2,40,1,3,29,2,3,30,1,3
1,17,0,17,1,0,1,2,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,10,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
3,17,0,17,3,0,3,2,0.944444444,12,2,3,0,0,3,0,0,2,27.5,2,3,0,0,3,15.5,2,3
2,17,0,17,1,-1,2,2,0,2.5,2,3,0,0,3,0,0,2,0,0,3,0,0,3,0,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,2,15,3,3,0,2,0,13,1,3,0,0,3,39,1,2,0,0,3,0,0,3,16,1,3
0,17,11,6,4,4,0,2,2.44444E+14,37,1,3,0,0,3,35,1,2,38,1,3,0,0,3,32,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,0,17,1,1,0,2,0.888888889,0,1,3,0,0,3,0,0,2,0,1,3,0,0,3,3,1,3
0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,2,0,1,3,0,0,3,0,1,3
1,17,2,15,3,2,1,2,2.72222E+14,0,0,3,0,0,3,38,1,2,14,1,3,0,0,3,15,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,17,0,6,5,1,1,7.22222E+14,45,1,3,31,1,3,39,1,2,33,1,3,38,1,3,32.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,8,9,6,6,0,2,3.16667E+14,5,1,3,8,1,3,36,1,2,37,1,3,4,1,3,31,1,3
1,17,5,12,3,2,1,2,1.11111E+14,0,0,3,0,0,3,33,1,2,32,1,3,0,0,3,7,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,2,15,3,1,2,2,0,2,2,3,0,0,3,34,1,2,0,0,3,0,0,3,6,2,3
0,17,15,2,5,5,0,2,2.91667E+14,40,1,3,34,1,3,0,0,2,40,1,3,30,1,3,32,1,3
1,17,17,0,6,5,1,1,1.96111E+14,32,1,3,32,1,3,44,1,2,36,1,3,32,1,3,32,2,3
1,17,5,12,4,3,1,2,2.72222E+14,20,1,3,0,0,3,37,1,2,30,1,3,0,0,3,28.5,2,3
0,17,0,17,1,1,0,2,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,19,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
1,17,0,17,3,2,1,2,1.25,22,1,3,0,0,3,0,0,2,3,1,3,0,0,3,13.5,2,3
1,17,11,6,4,3,1,2,2.33333E+14,30,1,3,0,0,3,37,1,2,34,1,3,0,0,3,30.5,2,3
1,17,11,6,5,4,1,2,2.61111E+14,31,1,3,0,0,3,47,1,2,34,1,3,37,1,3,17.5,2,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
2,17,3,14,3,1,2,2,0,6.5,2,3,0,0,3,0,0,2,39,1,3,0,0,3,17.5,2,3
1,17,0,17,2,1,1,2,1.77778E+14,14,2,3,0,0,3,14,1,2,0,0,3,0,0,3,0,0,3
1,17,5,12,4,3,1,2,2.61111E+14,9.5,2,3,0,0,3,31,1,2,30,1,3,0,0,3,23,1,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,11,6,4,4,0,2,2.77778E+14,40,1,3,0,0,3,50,1,2,38,1,3,0,0,3,34,1,3
0,17,6,11,3,3,0,2,0,32,1,3,0,0,3,26,1,2,49,1,3,0,0,3,0,0,3
0,17,8,9,3,3,0,2,2.66667E+14,39,1,3,0,0,3,44,1,2,35,1,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3,0,0,3
0,17,14,3,5,5,0,1,2.77778E+14,41,1,3,30,1,3,41,1,2,47,1,3,0,0,3,36,1,3
