CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA
2,28,17,11,10,7,3,2,27.10526316,35,3,4,35,1,3,30,1,1,40,1,2,50,1,1,35,2,3,35,1,3
3,22,15,7,9,6,3,2,10.41860465,35,1,4,30,2,3,35,2,1,0,0,2,50,1,1,40,2,3,35,1,3
0,15,15,0,6,6,0,1,26.84210526,30,1,4,35,1,3,40,1,1,0,0,2,50,1,1,40,1,3,50,1,3
2,22,15,7,8,6,2,2,7.875,30,2,4,40,1,3,40,1,1,0,0,2,50,1,1,30,2,3,30,1,3
3,25,15,10,9,6,3,2,20.71428571,30,2,4,35,2,3,35,1,1,0,0,2,50,1,1,40,2,3,40,1,3
0,15,12,3,6,5,1,1,0,45,1,4,40,1,3,40,1,1,0,0,2,50,1,1,25,1,3,45,1,3
0,17,17,0,7,7,0,1,31.31578947,30,1,4,40,1,3,45,1,1,40,1,2,50,1,1,35,1,3,40,1,3
0,17,17,0,7,7,0,1,26.36363636,35,1,4,40,1,3,45,1,1,45,1,2,50,1,1,30,1,3,40,1,3
3,25,15,10,9,6,3,2,19.78571429,35,2,4,30,2,3,35,1,1,0,0,2,50,1,1,30,2,3,50,1,3
0,15,12,3,6,5,1,1,0,30,1,4,40,1,3,35,1,1,0,0,2,50,1,1,25,1,3,40,1,3
0,17,17,0,7,7,0,1,37.5,45,1,4,30,1,3,40,1,1,35,1,2,50,1,1,30,1,3,35,1,3
2,25,15,10,9,6,3,2,26.81818182,35,2,4,40,1,3,40,1,1,0,0,2,50,1,1,30,1,3,35,3,3
1,23,15,8,8,6,2,2,13.25,35,3,4,35,1,3,45,1,1,0,0,2,50,1,1,30,1,3,30,1,3
3,27,14,13,10,5,5,2,7.407407407,35,3,4,30,1,3,15,2,1,0,0,2,50,1,1,40,2,3,30,1,3
2,22,8,14,8,4,4,2,15,15,2,4,30,1,3,35,1,1,0,0,2,50,1,1,30,1,3,15,2,3
1,21,17,4,8,7,1,2,20.71428571,30,2,4,30,1,3,45,1,1,35,1,2,50,1,1,30,1,3,30,1,3
0,15,1,14,6,1,5,2,0,15,1,4,15,1,3,15,1,1,0,0,2,50,1,1,15,1,3,15,1,3
1,20,17,3,8,7,1,1,22.95454545,30,1,4,30,1,3,35,1,1,40,1,2,50,1,1,40,2,3,35,1,3
0,15,1,14,6,1,5,2,0,15,1,4,15,1,3,15,1,1,0,0,2,50,1,1,15,1,3,25,1,3
2,28,15,13,10,6,4,2,13.23684211,30,2,4,30,1,3,45,1,1,0,0,2,50,1,1,30,1,3,30,4,3
3,32,17,15,13,7,6,2,20.27586207,30,2,4,30,1,3,30,3,1,30,1,2,50,1,1,30,1,3,35,4,3
0,17,17,0,7,7,0,1,19.81481481,30,1,4,35,1,3,30,1,1,35,1,2,50,1,1,30,1,3,35,1,3
2,22,14,8,10,5,5,2,12.1875,35,2,4,30,1,3,15,4,1,0,0,2,50,1,1,35,1,3,30,1,3
0,17,17,0,7,7,0,1,31.05263158,30,1,4,30,1,3,45,1,1,40,1,2,50,1,1,35,1,3,35,1,3
1,20,17,3,8,7,1,1,26.81818182,30,1,4,40,1,3,40,1,1,30,1,2,50,1,1,45,1,3,30,2,3
0,17,1,16,7,1,6,2,0,15,1,4,15,1,3,20,1,1,20,1,2,50,1,1,15,1,3,15,1,3
5,41,2,39,15,2,13,2,8.636363636,25,3,4,20,2,3,30,2,1,25,1,2,50,1,1,20,3,3,25,3,3
1,20,17,3,8,7,1,1,25.22727273,35,1,4,40,1,3,45,1,1,40,1,2,50,1,1,45,1,3,30,2,3
3,54,8,46,19,4,15,2,4.821428571,25,5,4,35,1,3,35,1,1,19,4,2,50,1,1,40,1,3,15,6,3
2,31,10,21,11,5,6,2,15.58823529,20,3,4,40,1,3,50,1,1,35,1,2,50,1,1,45,1,3,25,3,3
0,17,17,0,7,7,0,1,36.5625,30,1,4,45,1,3,40,1,1,45,1,2,50,1,1,45,1,3,40,1,3
0,17,17,0,7,7,0,1,11.16666667,35,1,4,40,1,3,40,1,1,40,1,2,50,1,1,45,1,3,40,1,3
3,27,17,10,10,7,3,2,22.2,30,2,4,45,2,3,40,1,1,35,1,2,50,1,1,30,1,3,35,2,3
0,17,17,0,7,7,0,1,31.57894737,30,1,4,45,1,3,50,1,1,40,1,2,50,1,1,45,1,3,30,1,3
0,17,17,0,7,7,0,1,25,30,1,4,40,1,3,45,1,1,40,1,2,50,1,1,30,1,3,30,1,3
0,17,17,0,7,7,0,1,31.31578947,30,1,4,35,1,3,40,1,1,40,1,2,50,1,1,35,1,3,40,1,3
