CAR_DIEZ,NCC_DIEZ,NCA_DIEZ,NCP_DIEZ,NAC_DIEZ,NAA_DIEZ,NAP_DIEZ,EPA_DIEZ,SEMESTRES_CURSADOS,NOTA_EI_IB,VECES_EI_IB,CREDITOS_EI_IB,NOTA_EI_IIB,VECES_EI_IIB,CREDITOS_EI_IIB,NOTA_EI_IIIB,VECES_EI_IIIB,CREDITOS_EI_IIIB,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ELEC_IND,VECES_ELEC_IND,CREDITOS_ELEC_IND,NOTA_TGDOS,VECES_TGDOS,CREDITOS_TGDOS
1,18,14,4,5,4,1,1,12,40,3,3,43,0,3,44,1,3,0,1,1,45,1,2,47,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,11,7,5,4,1,1,12,23.5,2,3,45,1,3,37,1,3,0,1,1,47,1,2,37,1,3,0,0,3
1,18,14,4,5,4,1,1,11,40,2,3,41,1,3,39,1,3,0,1,1,47,1,2,47,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,13,41,2,3,35,1,3,45,1,3,0,1,1,43,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,8,10,3,3,0,2,12,45,1,3,0,1,3,0,0,3,0,1,1,44,1,2,39,1,3,0,0,3
0,18,14,4,5,5,0,1,15,37,1,3,42,1,3,39,1,3,0,1,1,42,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,40,2,3,47,1,3,38,1,3,0,1,1,43,1,2,42,1,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,13,35,3,3,48,0,3,45,1,3,0,1,1,47,1,2,50,1,3,0,0,3
1,18,11,7,4,3,1,2,12,36,1,3,34,2,3,0,0,3,0,1,1,47,1,2,45,1,3,0,0,3
