CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_COMANA,VECES_COMANA,CREDITOS_COMANA,NOTA_MOYGE,VECES_COYGE,CREDITOS_COYGE,NOTA_DDM,VECES_DDM,CREDITOS_DDM,NOTAS_SYS,VECES_SYS,CREDITOS_SYS,NOTA_CCON,VECES_CCON,CREDITOS_CCON
0,16,14,2,6,6,0,1,42,0,0,2,50,1,2,40,1,3,35,1,3,45,1,3,35,1,2,35,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,31.4,0,0,2,50,1,2,30,1,3,44,1,3,45,1,3,30,1,2,30,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,38,0,0,2,0,1,2,30,1,3,40,1,3,35,1,3,35,1,2,45,1,1
1,16,12,4,5,4,1,2,42,0,0,2,0,1,2,30,2,3,40,1,3,40,1,3,30,1,2,30,1,1
0,16,1,15,1,1,0,2,1.33333E+14,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,30,1,1
2,16,8,8,6,4,2,1,2.97667E+14,0,0,2,43,1,2,20.5,2,3,29,2,3,35,1,3,30,1,2,30,1,1
1,16,14,2,6,5,1,1,3.28667E+14,0,0,2,46,1,2,33,1,3,30.5,2,3,36,1,3,40,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,11,5,6,5,1,1,29.7,0,0,2,43,1,2,38,1,3,30,1,3,18.8,5,3,35,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
2,16,9,7,5,3,2,1,33.6,0,0,2,0,1,2,28.5,2,3,40,1,3,45,1,3,30,2,2,40,1,1
1,16,3,13,3,2,1,2,4.28,0,0,2,0,1,2,0,0,3,0,0,3,4,2,3,39,1,2,30,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
2,16,7,9,5,3,2,2,34.4,0,0,2,0,1,2,39,1,3,30,1,3,27.5,2,3,25,2,2,35,1,1
3,16,6,10,6,3,3,2,32.4,0,0,2,50,1,2,19.5,2,3,25.5,2,3,35,1,3,21,2,2,40,1,1
0,16,14,2,6,6,0,1,45,0,0,2,50,1,2,30,1,3,40,1,3,40,1,3,30,1,2,35,1,1
2,16,1,15,3,1,2,2,3.8,0,0,2,0,1,2,0,0,3,0,0,3,28.5,2,3,11,2,2,45,1,1
3,16,8,8,6,3,3,2,34,0,0,2,40,1,2,30,1,3,29,2,3,24.5,2,3,35,1,2,32,2,1
0,16,14,2,6,6,0,1,36.1,0,0,2,44,1,2,35,1,3,40,1,3,35,1,3,45,1,2,35,1,1
1,16,1,15,2,1,1,2,14,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,15,1,2,32.5,2,1
1,16,14,2,6,5,1,1,32.2,0,0,2,50,1,2,30,1,3,31.5,2,3,35,1,3,30,1,2,35,1,1
0,16,12,4,5,5,0,1,37.7,0,0,2,0,1,2,35,1,3,35,1,3,45,1,3,35,1,2,40,1,1
0,16,14,2,6,6,0,1,35.6,0,0,2,50,1,2,35,1,3,35,1,3,35,1,3,30,1,2,40,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
0,16,14,2,6,6,0,1,38.4,0,0,2,45,1,2,38,1,3,43,1,3,35,1,3,31,1,2,30,1,1
0,16,6,10,3,3,0,2,6,0,0,2,50,1,2,0,0,3,35,1,3,0,0,3,0,0,2,35,1,1
2,16,11,5,6,4,2,1,3.19333E+14,0,0,2,45,1,2,26.33333333,3,3,32,2,3,30,1,3,37,1,2,45,1,1
0,0,0,0,0,0,0,0,5.1,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,0,16,2,1,1,2,0,0,0,2,15,1,2,0,0,3,0,0,3,0,0,3,0,0,2,27.5,2,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,43,0,0,2,48,1,2,35,1,3,35,1,3,45,1,3,30,1,2,50,1,1
3,16,4,12,5,2,3,2,32.7,0,0,2,0,1,2,28.66666667,3,3,26.5,2,3,32,1,3,19,2,2,40,1,1
1,16,14,2,6,5,1,1,37.8,0,0,2,50,1,2,30,1,3,30,1,3,35,1,3,45,1,2,32.5,2,1
0,16,12,4,5,5,0,2,33.7,0,0,2,0,1,2,30,1,3,30,1,3,36,1,3,35,1,2,40,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
0,16,1,15,1,1,0,2,5,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,39.8,0,0,2,0,1,2,39,1,3,30,1,3,35,1,3,50,1,2,40,1,1
2,16,8,8,6,4,2,1,31.1,0,0,2,46,1,2,25.5,2,3,27.5,2,3,30,1,3,30,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
2,16,4,12,4,2,2,2,20.4,0,0,2,0,1,2,20.33333333,3,3,0,0,3,41,1,3,20.33333333,3,2,35,1,1
0,16,12,4,5,5,0,1,37.6,0,0,2,0,1,2,38,1,3,30,1,3,50,1,3,35,1,2,45,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
3,16,5,11,6,3,3,2,3.16333E+14,0,0,2,48,1,2,27.66666667,3,3,29,2,3,22.5,2,3,35,1,2,35,1,1
0,16,1,15,1,1,0,2,3,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,35,1,1
0,16,12,4,5,5,0,2,35.3,0,0,2,0,1,2,30,1,3,30,1,3,30,1,3,30,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,41,0,0,2,0,1,2,35,1,3,30,1,3,45,1,3,35,1,2,45,1,1
0,16,7,9,5,5,0,2,6,0,0,2,0,1,2,24,1,3,37,1,3,35,1,3,9,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,12,4,5,5,0,1,40.8,0,0,2,0,1,2,35,1,3,35,1,3,40,1,3,35,1,2,45,1,1
