NOTA_MPI,VECES_MPI,CREDITOS_MPI,NOTA_PYE,VECES_PYE,CREDITOS_PYE,NOTA_ELD,VECES_ELD,CREDITOS_ELD,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_CIR_TRES,VECES_CIR_TRES,CREDITOS_CIR_TRES,NOTA_GEE,VECES_GEE,CREDITOS_GEE,NOTA_ME,VECES_ME,CREDITOS_ME,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
35,1,2,30,1,2,34,2,3,33,1,3,46,2,2,30,1,2,35,1,3,2,22,17,5,9,7,2,2,35.94117647
38,1,2,3,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,4,2,2,2,1,1,2,0
35,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,15
30,1,2,36,1,2,36,1,3,0,1,3,0,0,2,0,0,2,30,2,3,1,16,10,6,6,4,2,2,0
40,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,40,1,2,35,1,3,35,1,3,34,1,2,35,1,2,35,1,3,0,17,17,0,7,7,0,1,41.70588235
40,1,2,35,1,2,35,1,3,33,3,3,39,1,2,50,1,2,30,1,3,1,23,17,6,9,7,2,2,24.30769231
30,1,2,30,2,2,41,1,3,37,2,3,32,1,2,30,3,2,32,1,3,3,26,17,9,11,7,4,2,14.0952381
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
45,1,2,30,1,2,35,1,3,38,4,3,42,3,2,30,1,2,40,1,3,2,30,17,13,12,7,5,2,27.29166667
30,1,2,31,1,2,25,1,3,21,2,3,0,0,2,0,0,2,0,0,3,1,13,4,9,5,2,3,2,35
35,1,2,34,1,2,33,1,3,0,0,3,0,0,2,0,0,2,0,0,3,0,7,7,0,3,3,0,1,40
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
36,1,2,30,1,2,35,2,3,41,3,3,32,1,2,32,1,2,33,1,3,2,26,17,9,10,7,3,2,21.27586207
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,35,1,2,44,1,3,35,2,3,30,2,2,50,1,2,30,1,3,2,22,17,5,9,7,2,2,39.58823529
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
30,2,2,21,2,2,33,1,3,0,0,3,0,0,2,0,0,2,32,2,3,3,17,8,9,7,3,4,2,14.33333333
38,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,23,2,3,1,8,2,6,3,1,2,2,2
30,1,2,0,0,2,31,1,3,34,1,3,0,0,2,0,0,2,20,2,3,1,14,8,6,5,3,2,2,22
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,40,1,2,36,1,3,44,1,3,38,1,2,43,2,2,35,1,3,1,19,17,2,8,7,1,1,38.52941176
35,1,2,0,1,2,4,1,3,0,0,3,0,0,2,0,0,2,0,0,3,0,7,2,5,3,1,2,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
30,1,2,31,1,2,38,1,3,37,2,3,33,1,2,25,1,2,32,2,3,2,23,15,8,9,6,3,2,45
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,35,1,2,40,1,3,37,2,3,30,1,2,32,1,2,30,1,3,1,20,17,3,8,7,1,2,29.85
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
34,1,2,34,1,2,37,1,3,39,1,3,50,2,2,34,1,2,33,1,3,1,19,17,2,8,7,1,1,40.23529412
40,1,2,46,1,2,30,1,3,42,1,3,40,1,2,39,2,2,35,1,3,1,19,17,2,8,7,1,1,32.55
35,1,2,41,1,2,48,1,3,34,1,3,47,2,2,33,2,2,34,1,3,2,21,17,4,9,7,2,1,37.35294118
30,1,2,35,1,2,32,4,3,27,3,3,30,3,2,24,3,2,30,1,3,4,40,12,28,16,5,11,2,6.4
40,1,2,38,1,2,37,1,3,42,1,3,50,2,2,36,1,2,40,1,3,1,19,17,2,8,7,1,1,40.11764706
35,1,2,35,1,2,33,1,3,36,1,3,50,2,2,34,2,2,35,1,3,2,21,17,4,9,7,2,2,32.35
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,34,1,2,34,1,3,30,2,3,40,1,2,30,2,2,30,1,3,2,22,17,5,9,7,2,2,29.73684211
40,1,2,43,1,2,48,1,3,31,1,3,47,2,2,30,2,2,34,1,3,2,21,17,4,9,7,2,1,26.34615385
32,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,35,1,2,45,1,3,32,1,3,34,1,2,33,1,2,35,1,3,0,17,17,0,7,7,0,1,41.35294118
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
37,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
35,1,2,38,1,2,42,1,3,35,1,3,48,2,2,31,2,2,38,1,3,2,21,17,4,9,7,2,1,31.04347826
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,0,0,2,12,1,3,7,2,3,0,0,2,0,0,2,0,0,3,1,11,2,9,4,1,3,2,34
35,1,2,35,1,2,37,1,3,34,1,3,33,2,2,40,2,2,30,1,3,2,21,17,4,9,7,2,2,25.15
20,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,0,2,1,0,1,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,44,1,2,41,1,3,32,1,3,48,2,2,42,2,2,33,1,3,2,21,17,4,9,7,2,1,34.2
35,1,2,35,1,2,50,1,3,35,1,3,49,1,2,31,1,2,45,1,3,0,17,17,0,7,7,0,1,41.11764706
