NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOS Q;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
819;39.0;41.0;40.23529411764706;38.0;32.0;43.0;42.0;40.833333333333336;7;33.0;39.0;48.0;30.0;44.0;40.5;0;18;18;0;7;7;0;1;37.0;1;2;40.0;1;3;44.0;1;3;41.0;1;3;32.0;1;2;42.0;1;3;45;1;2;3;40.588235294117645
820;38.86666666666667;41.0;35.61764705882353;31.0;25.5;36.0;40.0;36.833333333333336;7;36.0;37.0;32.0;30.0;41.0;40.22222222222222;0;18;18;0;7;7;0;1;37.0;1;2;36.0;1;3;48.0;1;3;34.0;1;3;38.0;1;2;42.0;1;3;47;1;2;3;40.294117647058826
821;40.733333333333334;50.0;36.1764705882353;31.0;31.0;41.0;46.0;38.94444444444444;7;31.0;36.0;48.0;45.0;39.0;39.666666666666664;1;20;18;2;7;7;0;1;34.0;2;2;39.0;1;3;40.0;1;3;42.0;1;3;32.0;1;2;47.0;1;3;39;1;2;3;40.1764705882353
822;40.06666666666667;48.0;34.38235294117647;31.0;27.5;30.0;42.0;37.333333333333336;7;32.0;38.0;36.0;32.0;41.0;39.72222222222222;0;18;18;0;7;7;0;1;32.0;1;2;43.0;1;3;42.0;1;3;38.0;1;3;32.0;1;2;40.0;1;3;49;1;2;2;37.411764705882355
824;35.0;39.0;33.470588235294116;35.0;18.0;39.0;32.0;39.611111111111114;7;39.0;34.0;41.0;34.0;44.0;36.77777777777778;0;18;18;0;7;7;0;1;33.0;1;2;31.0;1;3;45.0;1;3;40.0;1;3;33.0;1;2;40.0;1;3;31;1;2;3;41.1764705882353
825;36.13333333333333;34.0;36.1764705882353;33.0;32.666666666666664;35.0;47.0;36.80555555555556;6;29.5;47.0;41.0;30.0;43.0;38.94444444444444;1;20;18;2;7;6;1;1;35.0;1;2;37.0;1;3;39.0;1;3;37.0;1;3;27.0;2;2;46.0;1;3;50;1;2;2;34.8235294117647
826;40.266666666666666;46.0;36.85294117647059;36.0;25.5;41.0;39.0;36.55555555555556;7;31.0;34.0;35.0;32.0;46.0;39.77777777777778;0;18;18;0;7;7;0;1;35.0;1;2;37.0;1;3;44.0;1;3;37.0;1;3;33.0;1;2;44.0;1;3;47;1;2;2;37.294117647058826
827;40.733333333333334;50.0;36.55882352941177;27.5;32.0;42.0;46.0;36.55555555555556;7;30.0;31.0;30.0;49.0;39.0;37.666666666666664;1;20;18;2;7;6;1;1;40.0;1;2;33.0;1;3;40.0;1;3;41.0;1;3;28.0;2;2;36.0;1;3;46;1;2;3;42.23529411764706
829;38.6;50.0;32.86666666666667;30.0;30.0;31.0;0.0;33.911764705882355;5;23.5;35.0;41.0;32.0;0.0;30.357142857142858;1;15;13;2;5;3;2;1;33.0;1;2;0.0;0;3;45.0;1;3;23.0;1;3;23.5;2;2;36.0;1;3;0;0;2;2;33.583333333333336
831;39.6;44.0;33.294117647058826;34.0;29.0;30.0;32.0;33.157407407407405;5;34.0;34.0;29.5;25.666666666666668;39.0;36.388888888888886;2;23;18;5;7;6;1;1;34.0;1;2;35.0;1;3;45.0;1;3;32.0;2;3;26.0;2;2;33.0;1;3;50;1;2;2;34.76470588235294
