NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
693;11;482.97;75.41;66.68;72.69;66.95;11;33.8;2;22;15;7;7;6;1;1;4;5;25.0;2;35.0;1;2;30.0;2;3;40.0;1;1;42.0;1;2;35.0;1;1;44.0;1;2;3;40.529411764705884
694;10;498.52;63.02;66.68;63.99;77.55;8;33.63333333333333;1;18;15;3;7;6;1;1;4;5;30.0;1;30.0;1;2;25.5;2;3;40.0;1;1;48.0;1;2;30.0;1;1;41.0;1;2;2;35.5
695;20;401.25;65.63;50.64;53.19;45.84;20;16.0;3;28;13;15;6;2;4;1;4;9;12.0;3;30.0;1;2;9.666666666666666;3;3;30.0;1;1;14.0;1;2;13.0;2;1;0.0;0;2;1;4.0
696;10;447.41;78.36;60.76;52.34;61.66;7;31.016666666666666;3;29;15;14;7;4;3;1;4;5;22.5;2;35.0;1;2;24.75;4;3;35.0;1;1;40.0;1;2;28.0;2;1;44.0;1;2;2;33.35294117647059
697;10;478.53;78.36;69.98;68.87;58.01;10;35.2;0;15;15;0;7;7;0;1;4;5;35.0;1;30.0;1;2;30.0;1;3;35.0;1;1;39.0;1;2;35.0;1;1;45.0;1;2;2;37.0
698;8;466.12;71.35;79.22;72.69;60.9;8;33.166666666666664;2;22;15;7;7;5;2;1;4;5;29.0;2;40.0;1;2;23.5;2;3;35.0;1;1;40.0;1;2;30.0;1;1;43.0;1;2;2;37.1764705882353
699;4;516.27;75.41;66.68;75.95;60.44;4;36.733333333333334;0;15;15;0;7;7;0;1;4;5;40.0;1;35.0;1;2;30.0;1;3;40.0;1;1;36.0;1;2;35.0;1;1;42.0;1;2;2;35.0
700;20;521.26;83.87;69.72;75.95;79.4;20;36.333333333333336;0;15;15;0;7;7;0;1;4;9;35.0;1;35.0;1;2;30.0;1;3;40.0;1;1;41.0;1;2;35.0;1;1;44.0;1;2;2;37.5
701;20;504.98;79.26;66.68;79.57;66.95;20;35.06666666666667;1;16;15;1;7;6;1;1;4;5;35.0;1;35.0;1;2;30.0;1;3;35.0;1;1;47.0;1;2;25.0;2;1;36.0;1;2;2;38.529411764705884
702;19;442.46;63.02;66.93;71.9;50.87;19;23.977272727272727;3;33;11;22;5;3;2;1;4;9;16.0;4;30.0;1;2;23.25;4;3;35.0;1;1;0.0;0;2;35.0;2;1;0.0;0;2;2;31.95
703;9;484.89;83.87;57.4;66.77;75.1;8;36.46666666666667;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;30.0;1;3;45.0;1;1;37.0;1;2;40.0;1;1;44.0;1;2;2;34.94117647058823
704;4;487.76;75.41;69.72;79.57;55.62;18;36.06666666666667;1;16;15;1;7;7;0;1;4;5;30.0;1;35.0;1;2;35.0;1;3;45.0;1;1;39.0;1;2;35.0;2;1;44.0;1;2;2;39.529411764705884
705;8;492.05;78.36;69.72;72.69;68.86;8;15.0;0;11;11;0;5;0;5;2;4;9;15.0;1;15.0;1;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;0.0
706;19;468.27;72.05;82.7;72.69;67.41;19;34.111111111111114;1;23;15;8;7;6;1;1;4;5;28.666666666666668;3;35.0;1;2;30.0;1;3;40.0;1;1;41.0;1;2;35.0;1;1;40.0;1;2;2;35.37254901960784
707;11;525.11;79.26;69.72;72.69;68.41;11;33.46666666666667;1;23;15;8;7;6;1;1;4;3;27.0;3;30.0;1;2;30.0;1;3;45.0;1;1;40.0;1;2;35.0;1;1;42.0;1;2;2;31.147058823529413
708;13;498.55;66.17;86.86;71.9;79.81;13;34.53333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;35.0;1;2;30.0;1;3;35.0;1;1;35.0;1;2;35.0;1;1;39.0;1;2;2;35.55882352941177
709;10;480.62;66.17;73.09;65.98;55.62;10;26.8;1;19;15;4;7;4;3;2;4;9;16.5;2;35.0;1;2;30.0;1;3;40.0;1;1;25.0;1;2;30.0;1;1;28.0;1;2;1;23.0
710;9;496.64;71.35;63.65;69.65;77.13;9;38.93333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;40.0;1;1;47.0;1;2;3;42.529411764705884
711;8;358.86;58.94;53.43;52.77;48.4;8;35.333333333333336;1;19;15;4;7;7;0;1;4;5;33.5;2;35.0;1;2;30.0;1;3;35.0;1;1;41.0;1;2;35.0;1;1;42.0;1;2;2;32.19607843137254
712;20;452.72;83.87;72.78;61.28;65.57;20;15.0;0;11;11;0;5;0;5;2;4;9;15.0;1;15.0;1;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;11.25
713;20;472.83;74.62;69.72;72.69;81.98;20;15.0;0;11;11;0;5;0;5;2;4;9;15.0;1;15.0;1;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;0.0
714;20;501.71;72.05;86.47;66.77;62.94;20;28.488888888888887;2;26;15;11;7;5;2;2;4;2;20.333333333333332;3;30.0;1;2;25.0;2;3;35.0;1;1;31.0;1;2;30.0;1;1;42.0;1;2;2;31.294117647058822
715;11;489.69;72.05;63.86;68.87;75.1;11;34.1;2;22;15;7;7;5;2;1;4;5;25.0;2;35.0;1;2;27.5;2;3;45.0;1;1;41.0;1;2;40.0;1;1;46.0;1;2;2;36.1764705882353
716;19;488.88;72.05;69.98;60.48;77.55;19;36.9;1;18;15;3;7;6;1;1;4;3;30.0;1;40.0;1;2;27.5;2;3;45.0;1;1;50.0;1;2;40.0;1;1;43.0;1;2;2;35.733333333333334
717;1;455.15;71.35;76.27;52.34;94.05;11;34.06666666666667;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;30.0;1;3;35.0;1;1;40.0;1;2;40.0;1;1;38.0;1;2;2;34.8235294117647
718;20;502.9;74.62;60.57;69.65;81.98;10;40.266666666666666;0;15;15;0;7;7;0;1;4;5;40.0;1;40.0;1;2;35.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;42.0;1;2;3;44.11764705882353
719;15;478.08;68.39;82.7;55.92;68.86;4;35.93333333333333;0;15;15;0;7;7;0;1;4;3;30.0;1;35.0;1;2;30.0;1;3;40.0;1;1;42.0;1;2;35.0;1;1;50.0;1;2;2;32.294117647058826
720;18;491.06;71.35;73.09;68.87;73.24;16;33.30769230769231;1;22;13;9;6;5;1;1;4;13;40.0;1;35.0;1;2;22.0;4;3;40.0;1;1;0.0;0;2;35.0;1;1;31.0;1;2;1;29.966666666666665
721;8;484.55;63.5;72.78;61.28;62.13;7;6.212121212121212;4;31;11;20;5;0;5;1;4;9;5.0;3;5.0;3;2;5.0;3;3;15.0;1;1;0.0;0;2;8.333333333333334;3;1;0.0;0;2;1;0.0
722;8;491.13;78.36;63.86;71.9;79.4;8;37.4;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;1;3;45.0;1;1;47.0;1;2;40.0;1;1;46.0;1;2;2;37.705882352941174
723;2;506.25;78.36;75.93;66.77;85.05;15;38.93333333333333;0;15;15;0;7;7;0;1;4;5;40.0;1;35.0;1;2;35.0;1;3;40.0;1;1;48.0;1;2;35.0;1;1;39.0;1;2;2;38.411764705882355
724;20;466.43;89.92;63.86;60.48;59.67;21;31.244444444444447;1;23;15;8;7;6;1;1;4;9;22.666666666666668;3;40.0;1;2;30.0;1;3;40.0;1;1;31.0;1;2;30.0;1;1;38.0;1;2;2;31.6
725;10;477.79;78.36;69.72;72.69;66.03;10;37.13333333333333;0;15;15;0;7;7;0;1;4;9;35.0;1;35.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;35.0;1;1;36.0;1;2;2;37.46666666666667
726;20;480.47;69.01;69.98;68.87;71.53;20;38.53333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;45.0;1;2;30.0;1;3;40.0;1;1;43.0;1;2;40.0;1;1;46.0;1;2;2;37.588235294117645
727;14;508.49;74.62;66.93;68.87;68.86;4;30.955555555555556;1;23;15;8;7;6;1;1;4;5;19.333333333333332;3;40.0;1;2;30.0;1;3;40.0;1;1;36.0;1;2;35.0;1;1;35.0;1;2;2;34.11764705882353
728;20;495.27;78.36;73.09;82.9;75.52;10;36.2;0;15;15;0;7;7;0;1;4;5;30.0;1;45.0;1;2;30.0;1;3;40.0;1;1;40.0;1;2;35.0;1;1;44.0;1;2;2;36.0
729;8;473.34;83.87;69.72;61.28;59.21;8;36.13333333333333;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;40.0;1;1;39.0;1;2;35.0;1;1;42.0;1;2;2;36.88235294117647
730;19;490.83;74.62;66.93;68.87;58.47;19;37.13333333333333;0;15;15;0;7;7;0;1;4;5;30.0;1;45.0;1;2;30.0;1;3;45.0;1;1;43.0;1;2;40.0;1;1;43.0;1;2;2;34.35294117647059
731;9;468.82;89.92;69.72;69.65;48.42;9;34.733333333333334;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;36.0;1;2;35.0;1;1;42.0;1;2;2;32.911764705882355
732;7;504.65;88.79;66.68;69.65;61.66;8;35.13333333333333;0;15;15;0;7;7;0;1;4;5;30.0;1;35.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;35.0;1;1;41.0;1;2;2;34.088235294117645
733;10;428.63;63.5;66.68;63.99;50.87;10;34.666666666666664;0;15;15;0;7;7;0;1;4;10;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;32.733333333333334
734;10;474.92;74.62;69.72;66.77;70.37;12;17.272727272727273;0;11;11;0;5;1;4;2;4;9;15.0;1;15.0;1;2;15.0;1;3;35.0;1;1;0.0;0;2;20.0;1;1;0.0;0;2;1;0.0
735;10;496.77;79.26;69.98;63.2;52.08;10;38.4;0;15;15;0;7;7;0;1;4;10;45.0;1;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;35.0;1;1;33.0;1;2;2;37.294117647058826
