NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
118;17;440.62;69.99;54.12;53.95;71.53;15;15.0;0;9;0;0;4;10;15.0;0.0;15.0;15.0;0.0;15.0;0.0;11.25;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;15.0;1;3;0.0;0;2;1;0.0
119;20;429.47;74.44;49.23;51.64;62.69;20;16.73160173160173;4;43;32;0;5;10;15.428571428571429;0.0;22.5;11.5;15.0;13.333333333333334;0.0;22.0;1;7;4;3;2;1;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;1;25.0;2;3;0.0;0;2;1;18.642857142857142
120;10;459.05;70.5;49.23;57.44;46.06;10;34.733333333333334;0;15;0;7;0;5;30.0;30.0;30.0;40.0;40.0;45.0;43.0;37.05882352941177;0;17;17;0;7;7;0;1;35.0;1;3;30.0;1;3;30.0;1;3;30.0;1;2;45.0;1;1;50.0;1;3;45.0;1;2;2;37.86666666666667
121;20;457.46;78.22;46.84;58.09;58.45;10;31.244444444444447;3;28;13;6;1;5;21.666666666666668;32.5;30.0;40.0;40.0;35.0;36.0;27.65625;3;25;16;9;6;3;3;1;25.0;2;3;25.0;2;3;30.0;1;3;30.0;1;2;0.0;0;1;27.5;2;3;30.0;1;2;1;29.1
122;5;460.65;79.77;46.28;59.54;42.76;5;20.03846153846154;2;36;23;3;3;13;15.0;4.0;22.5;30.0;30.0;35.0;0.0;15.666666666666666;3;39;9;30;3;0;3;1;9.0;5;3;0.0;0;3;13.0;5;3;0.0;0;2;0.0;0;1;25.0;3;3;0.0;0;2;1;13.714285714285714
123;20;458.59;67.77;53.97;59.24;49.6;20;32.93333333333333;1;19;4;6;1;5;22.5;35.0;35.0;35.0;35.0;40.0;42.0;32.65625;2;22;16;6;6;4;2;1;30.0;1;3;25.0;2;3;27.5;2;3;35.0;1;2;0.0;0;1;45.0;1;3;35.0;1;2;2;38.2
124;20;440.62;58.13;61.41;51.92;49.65;13;29.615384615384617;1;17;4;5;1;10;17.5;0.0;30.0;35.0;35.0;40.0;40.0;25.714285714285715;1;9;6;3;2;1;1;2;0.0;0;3;0.0;0;3;25.0;1;3;0.0;0;2;0.0;0;1;35.0;2;3;0.0;0;2;1;0.0
125;10;472.35;81.5;46.84;53.95;45.98;2;20.555555555555557;2;16;7;2;2;10;15.0;0.0;20.0;30.0;0.0;35.0;0.0;13.125;1;6;3;3;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;17.5;2;3;0.0;0;2;1;0.0
126;8;449.5;62.82;61.41;58.09;62.69;8;34.46666666666667;1;19;4;6;1;5;22.5;40.0;35.0;40.0;40.0;40.0;41.0;35.0625;1;18;16;2;6;5;1;1;35.0;1;3;30.0;1;3;35.0;1;3;26.5;2;2;0.0;0;1;40.0;1;3;44.0;1;2;3;40.13333333333333
127;20;461.47;74.38;56.78;44.37;42.2;20;35.06666666666667;1;19;4;7;0;5;30.0;40.0;35.0;35.0;35.0;40.0;38.0;38.529411764705884;0;17;17;0;7;7;0;1;35.0;1;3;35.0;1;3;40.0;1;3;30.0;1;2;40.0;1;1;45.0;1;3;45.0;1;2;3;40.46666666666667
