CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,ESTADO OCHO,PROMEDIO_NUEVE,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_FOTOD,VECES_FOTOD,CREDITOS_FOTOD,NOTA_AVAM,VECES_AVAM,CREDITOS_AVAM
0,14,14,0,6,6,0,1,1,43.84615385,48,1,2,41,1,3,43,1,3,40,1,2,35,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,44.3,47,1,2,40,1,3,39,1,3,37,1,2,41,1,2,42,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
1,14,14,0,6,6,0,1,1,40.53846154,40,1,2,37,1,3,38,1,3,36,1,2,31,2,2,42,1,2
1,14,14,0,6,6,0,1,1,38.3,34,1,2,43,1,3,33,1,3,34,2,2,40,1,2,32,1,2
0,14,14,0,6,6,0,1,1,38.90909091,44,1,2,45,1,3,43,1,3,38,1,2,32,1,2,35,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
1,14,14,0,6,6,0,1,1,42.7,34,1,2,39,1,3,30,1,3,48,1,2,33,2,2,35,1,2
0,14,14,0,6,6,0,1,1,39.8,39,1,2,36,1,3,37,1,3,45,1,2,35,1,2,46,1,2
0,14,4,10,4,2,4,2,3,39,0,0,2,0,0,3,0,0,3,35,1,2,34,1,2,25,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
1,14,14,0,6,6,0,1,1,38.15384615,42,2,2,41,1,3,36,1,3,41,1,2,32,1,2,39,1,2
0,14,14,0,6,6,0,1,1,37.69230769,44,1,2,34,1,3,39,1,3,43,1,2,31,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,37.38461538,32,1,2,36,1,3,37,1,3,41,1,2,30,1,2,38,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38.6,42,1,2,37,1,3,32,1,3,35,1,2,37,1,2,46,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.8,43,1,2,42,1,3,37,1,3,41,1,2,31,1,2,35,1,2
0,14,14,0,6,6,0,1,1,39.92307692,37,1,2,39,1,3,41,1,3,39,1,2,44,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,32,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,0,14,2,0,6,2,3,15,0,0,2,0,0,3,0,0,3,23,1,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,40.7,43,1,2,48,1,3,36,1,3,37,1,2,40,1,2,38,1,2
0,14,14,0,6,6,0,1,1,42,48,1,2,35,1,3,36,1,3,38,1,2,30,1,2,36,1,2
0,14,14,0,6,6,0,1,1,37,32,1,2,30,1,3,36,1,3,34,1,2,31,1,2,31,1,2
0,14,14,0,6,6,0,1,1,40.3,42,1,2,37,1,3,30,1,3,33,1,2,35,1,2,35,1,2
0,14,14,0,6,6,0,1,1,38.9,40,1,2,37,1,3,30,1,3,30,1,2,31,1,2,43,1,2
3,14,14,0,6,6,0,2,3,30.6,37,2,2,36,1,3,30,1,3,32,1,2,34,4,2,40,2,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,35,33,1,2,35,1,3,41,1,3,41,1,2,37,1,2,39,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,38.3,35,1,2,42,1,3,37,1,3,31,1,2,32,1,2,39,1,2
0,14,14,0,6,6,0,1,1,41.2,38,1,2,30,1,3,37,1,3,43,1,2,35,1,2,40,1,2
0,14,14,0,6,6,0,1,1,38.7,41,1,2,36,1,3,34,1,3,33,1,2,35,1,2,41,1,2
0,14,14,0,6,6,0,1,1,43.5,37,1,2,37,1,3,36,1,3,36,1,2,33,1,2,34,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,44.5,37,1,2,44,1,3,41,1,3,48,1,2,39,1,2,46,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,35.4,41,1,2,33,1,3,38,1,3,45,1,2,32,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.2,45,1,2,41,1,3,35,1,3,38,1,2,33,1,2,38,1,2
0,14,14,0,6,6,0,1,1,41.15384615,44,1,2,37,1,3,34,1,3,45,1,2,37,1,2,40,1,2
0,14,14,0,6,6,0,1,1,40.3,41,1,2,41,1,3,39,1,3,37,1,2,36,1,2,35,1,2
0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,39.1,39,1,2,33,1,3,39,1,3,30,1,2,30,1,2,38,1,2
0,14,14,0,6,6,0,1,1,40.30769231,43,1,2,33,1,3,40,1,3,43,1,2,36,1,2,38,1,2
0,14,14,0,6,6,0,1,1,40.38461538,43,1,2,37,1,3,37,1,3,43,1,2,33,1,2,41,1,2
0,14,14,0,6,6,0,1,1,42.6,43,1,2,34,1,3,43,1,3,42,1,2,39,1,2,38,1,2
0,14,14,0,6,6,0,1,1,35,34,1,2,35,1,3,37,1,3,46,1,2,31,1,2,36,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.2,42,1,2,44,1,3,40,1,3,40,1,2,37,1,2,47,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.7,42,1,2,39,1,3,41,1,3,46,1,2,36,1,2,38,1,2
1,14,14,0,6,6,0,1,1,38.92307692,45,1,2,35,1,3,37,1,3,31,2,2,43,1,2,40,1,2
0,14,14,0,6,6,0,1,1,37.18181818,42,1,2,34,1,3,34,1,3,35,1,2,30,1,2,44,1,2
0,14,14,0,6,6,0,1,1,40.1,32,1,2,37,1,3,34,1,3,32,1,2,34,1,2,46,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
