NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
40,1,3,45,1,1,30,1,3,30,1,3,30,2,3,50,1,2,40,1,1,1,19,16,3,8,7,1,1,31.42857143
30,1,3,50,1,1,35,1,3,35,3,3,35,2,3,40,1,2,45,1,1,2,25,16,9,10,7,3,2,21.4
30,1,3,50,1,1,50,1,3,35,1,3,35,1,3,40,1,2,45,1,1,0,16,16,0,7,7,0,1,27.85714286
40,2,3,45,1,1,40,1,3,40,2,3,40,2,3,45,1,2,45,1,1,3,25,16,9,10,7,3,2,27.5
30,1,3,40,1,1,30,1,3,30,1,3,30,4,3,50,2,2,35,1,1,2,27,16,11,11,7,4,2,26.85714286
30,1,3,45,1,1,35,1,3,32,1,3,40,2,3,35,1,2,45,1,1,1,19,16,3,8,7,1,1,36.16666667
40,1,3,50,1,1,50,1,3,35,1,3,35,1,3,35,1,2,45,1,1,0,16,16,0,7,7,0,1,32.14285714
35,6,3,45,1,1,30,1,3,30,1,3,30,2,3,40,1,2,35,1,1,2,34,16,18,13,7,6,2,17.81818182
0,0,3,15,1,1,15,2,3,15,2,3,0,0,3,15,2,2,15,2,1,4,19,0,19,9,0,9,2,7.5
30,2,3,45,1,1,30,1,3,30,1,3,30,1,3,35,1,2,40,1,1,1,19,16,3,8,7,1,2,20.7
16,6,3,45,1,1,35,1,3,30,2,3,15,4,3,40,1,2,35,1,1,3,43,10,33,16,5,11,2,15
30,1,3,45,1,1,30,1,3,30,1,3,30,2,3,35,1,2,35,1,1,1,19,16,3,8,7,1,2,20.83333333
30,4,3,45,1,1,30,3,3,32,7,3,31,6,3,30,1,2,30,1,1,4,64,16,48,23,7,16,2,9.0625
30,2,3,50,1,1,40,2,3,40,2,3,25,2,3,45,1,2,35,1,1,4,28,13,15,11,6,5,2,20
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
