NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1027;35.64705882352941;48;37.23529411764706;44.0;40.76470588235294;36.0;44.53333333333333;8;46.0;47.0;45.0;43.0;40.785714285714285;0;14;14;0;7;7;0;1;41.0;1;2;37.0;1;3;43.0;1;2;0;0;2;35.0;1;2;44.0;1;1;42.0;1;2;47.0;1;2;2;36.1875
1030;30.235294117647058;46;34.44117647058823;44.0;37.23529411764706;30.0;37.266666666666666;8;33.0;36.0;40.0;34.0;35.92857142857143;2;19;14;5;7;6;1;1;24.5;2;2;33.0;2;3;42.0;1;2;0;0;2;34.0;1;2;35.0;1;1;45.0;1;2;39.0;1;2;2;36.5625
1031;43.294117647058826;45;42.8235294117647;48.0;43.588235294117645;44.0;45.93333333333333;8;49.0;47.0;44.0;46.0;44.714285714285715;0;14;14;0;7;7;0;1;44.0;1;2;35.0;1;3;50.0;1;2;0;0;2;46.0;1;2;45.0;1;1;50.0;1;2;48.0;1;2;3;40.8125
1037;33.08333333333333;0;32.7;41.0;22.75;27.0;16.75;1;0.0;0.0;0.0;0.0;24.666666666666668;0;2;2;0;1;1;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;37.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;1;0.0
1038;31.705882352941178;46;35.11764705882353;48.0;33.705882352941174;31.5;36.4;8;38.0;30.0;39.0;30.0;36.142857142857146;1;17;14;3;7;6;1;1;30.0;1;2;27.0;2;3;36.0;1;2;0;0;2;45.0;1;2;37.0;1;1;39.0;1;2;44.0;1;2;2;37.90909090909091
1040;33.8235294117647;35;35.76470588235294;50.0;36.705882352941174;30.5;37.53333333333333;7;43.0;33.0;40.0;34.0;43.0;0;14;14;0;7;7;0;1;38.0;1;2;45.0;1;3;43.0;1;2;0;0;2;42.0;1;2;49.0;1;1;41.0;1;2;45.0;1;2;2;32.333333333333336
1043;34.1764705882353;50;36.4;0.0;34.470588235294116;30.0;38.46666666666667;8;30.0;37.0;42.0;42.0;34.833333333333336;1;15;12;3;6;6;0;1;36.0;1;2;32.0;2;3;35.0;1;2;0;0;2;0.0;0;2;40.0;1;1;30.0;1;2;40.0;1;2;2;35.8
1044;40.11764705882353;41;38.411764705882355;41.0;36.794117647058826;34.0;40.4;8;46.0;39.0;41.0;42.0;36.785714285714285;0;14;14;0;7;7;0;1;32.0;1;2;30.0;1;3;42.0;1;2;0;0;2;49.0;1;2;39.0;1;1;31.0;1;2;39.0;1;2;2;38.5625
1046;32.794117647058826;47;33.35294117647059;46.0;37.0;40.0;36.13333333333333;8;41.0;39.0;39.0;31.0;35.0;0;14;14;0;7;7;0;1;34.0;1;2;31.0;1;3;34.0;1;2;0;0;2;33.0;1;2;43.0;1;1;45.0;1;2;31.0;1;2;2;35.13333333333333
1047;37.85294117647059;48;33.64705882352941;44.0;37.529411764705884;31.0;42.4;8;42.0;45.0;42.0;46.0;45.07142857142857;0;14;14;0;7;7;0;1;43.0;1;2;47.0;1;3;43.0;1;2;0;0;2;50.0;1;2;44.0;1;1;40.0;1;2;47.0;1;2;2;35.8125
1049;34.26470588235294;50;35.294117647058826;43.0;38.0;42.0;40.266666666666666;8;42.0;43.0;40.0;39.0;39.57142857142857;0;14;14;0;7;7;0;1;35.0;1;2;33.0;1;3;45.0;1;2;0;0;2;42.0;1;2;49.0;1;1;46.0;1;2;35.0;1;2;2;39.625
1050;33.029411764705884;48;34.411764705882355;43.0;38.0;33.0;40.733333333333334;8;43.0;36.0;42.0;43.0;37.964285714285715;1;17;14;3;7;6;1;1;37.0;1;2;29.5;2;3;45.0;1;2;0;0;2;38.0;1;2;41.0;1;1;44.0;1;2;37.0;1;2;2;35.46666666666667
1051;38.05882352941177;49;39.05882352941177;46.0;38.8235294117647;35.0;42.266666666666666;8;45.0;44.0;42.0;39.0;37.142857142857146;0;14;14;0;7;7;0;1;39.0;1;2;31.0;1;3;42.0;1;2;0;0;2;32.0;1;2;35.0;1;1;45.0;1;2;38.0;1;2;3;40.375
1056;37.529411764705884;49;39.11764705882353;48.0;39.294117647058826;30.0;40.46666666666667;7;43.0;40.0;42.0;42.0;43.642857142857146;0;14;14;0;7;7;0;1;39.0;1;2;50.0;1;3;43.0;1;2;0;0;2;44.0;1;2;39.0;1;1;40.0;1;2;45.0;1;2;2;38.875
1057;32.05882352941177;47;37.029411764705884;48.0;37.35294117647059;31.0;39.666666666666664;8;38.0;43.0;41.0;44.0;34.607142857142854;1;17;14;3;7;6;1;1;38.0;1;2;29.5;2;3;30.0;1;2;0;0;2;37.0;1;2;34.0;1;1;34.0;1;2;42.0;1;2;2;32.1
1059;37.411764705882355;0;35.8235294117647;41.0;38.1764705882353;37.0;40.6;8;41.0;39.0;39.0;40.0;44.142857142857146;0;14;14;0;7;7;0;1;36.0;1;2;50.0;1;3;46.0;1;2;0;0;2;49.0;1;2;46.0;1;1;40.0;1;2;40.0;1;2;2;37.5625
1060;38.088235294117645;50;40.05882352941177;46.0;34.23529411764706;32.0;42.53333333333333;8;43.0;47.0;42.0;43.0;41.785714285714285;0;14;14;0;7;7;0;1;39.0;1;2;47.0;1;3;40.0;1;2;0;0;2;42.0;1;2;46.0;1;1;41.0;1;2;37.0;1;2;2;35.6875
1061;37.529411764705884;50;38.588235294117645;50.0;36.794117647058826;36.0;41.8;8;34.0;43.0;39.0;40.0;39.57142857142857;1;16;14;2;7;7;0;1;31.0;2;2;33.0;1;3;45.0;1;2;0;0;2;43.0;1;2;47.0;1;1;39.0;1;2;46.0;1;2;2;37.45833333333333
1064;37.13333333333333;0;37.46153846153846;49.0;37.42857142857143;50.0;33.2;2;0.0;39.0;0.0;0.0;30.0;0;5;5;0;2;2;0;1;0.0;0;2;30.0;1;3;0.0;0;2;0;0;2;45.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;1;20.0
1070;39.294117647058826;45;40.529411764705884;43.0;40.88235294117647;43.0;43.46666666666667;8;40.0;45.0;44.0;45.0;41.357142857142854;0;14;14;0;7;7;0;1;36.0;1;2;48.0;1;3;42.0;1;2;0;0;2;34.0;1;2;49.0;1;1;41.0;1;2;40.0;1;2;2;36.375
1073;36.05882352941177;43;36.76470588235294;38.0;36.8235294117647;31.0;39.4;8;46.0;43.0;40.0;35.0;38.0;1;20;14;6;7;7;0;1;34.0;1;2;31.0;3;3;43.0;1;2;0;0;2;37.0;1;2;45.0;1;1;42.0;1;2;41.0;1;2;2;34.78125
1075;36.794117647058826;47;35.294117647058826;41.0;38.588235294117645;30.5;39.93333333333333;8;42.0;36.0;39.0;39.0;38.642857142857146;1;17;14;3;7;6;1;1;34.0;1;2;29.0;2;3;45.0;1;2;0;0;2;44.0;1;2;36.0;1;1;40.0;1;2;46.0;1;2;2;34.9375
1081;32.26470588235294;42;35.8235294117647;30.0;34.0;30.0;37.733333333333334;7;43.0;39.0;36.0;45.0;37.92857142857143;1;20;14;6;7;6;1;1;31.0;1;2;29.666666666666668;3;3;42.0;1;2;0;0;2;38.0;1;2;42.0;1;1;42.0;1;2;47.0;1;2;2;34.25757575757576
1082;36.8235294117647;50;34.0;41.0;33.76470588235294;30.0;37.0;8;33.0;34.0;36.0;41.0;36.785714285714285;0;14;14;0;7;7;0;1;36.0;1;2;30.0;1;3;43.0;1;2;0;0;2;44.0;1;2;33.0;1;1;37.0;1;2;36.0;1;2;2;33.3
1087;30.5;0;29.877777777777776;0.0;35.23529411764706;33.0;36.06666666666667;8;32.0;35.0;42.0;40.0;30.916666666666668;2;17;12;5;6;4;2;1;29.0;2;2;23.0;2;3;32.0;1;2;0;0;2;0.0;0;2;36.0;1;1;38.0;1;2;34.0;1;2;2;33.9
1091;35.88235294117647;38;34.88235294117647;50.0;36.411764705882355;27.5;35.88888888888889;7;28.666666666666668;43.0;39.0;36.0;37.357142857142854;0;14;14;0;7;7;0;1;31.0;1;2;32.0;1;3;36.0;1;2;0;0;2;38.0;1;2;47.0;1;1;41.0;1;2;44.0;1;2;2;33.111111111111114
1093;33.37777777777778;0;31.676470588235293;40.0;35.1764705882353;33.0;32.666666666666664;4;42.0;38.0;30.0;0.0;33.77777777777778;0;8;8;0;4;4;0;1;34.0;1;2;32.0;1;3;0.0;0;2;0;0;2;46.0;1;2;48.0;1;1;0.0;0;2;0.0;0;2;1;23.1
1094;33.88235294117647;0;34.2;0.0;30.916666666666668;17.0;29.75;4;30.0;18.0;23.5;0.0;27.0;0;6;6;0;3;3;0;2;33.0;1;2;30.0;1;3;0.0;0;2;0;0;2;0.0;0;2;33.0;1;1;0.0;0;2;0.0;0;2;1;22.515151515151516
1097;32.0;43;31.51960784313726;41.0;36.583333333333336;37.0;35.75;4;38.0;40.0;0.0;0.0;18.181818181818183;0;10;10;0;5;2;3;2;17.0;1;2;4.0;1;3;20.0;1;2;0;0;2;36.0;1;2;42.0;1;1;0.0;0;2;0.0;0;2;1;25.2
1098;35.8235294117647;0;40.23529411764706;49.0;41.1764705882353;33.0;41.2;8;43.0;42.0;38.0;45.0;41.285714285714285;1;17;14;3;7;7;0;1;43.0;1;2;31.0;2;3;44.0;1;2;0;0;2;43.0;1;2;39.0;1;1;48.0;1;2;45.0;1;2;2;39.9375
1100;35.411764705882355;49;42.588235294117645;44.0;38.64705882352941;31.0;42.0;8;44.0;41.0;41.0;43.0;41.714285714285715;0;14;14;0;7;7;0;1;39.0;1;2;33.0;1;3;50.0;1;2;0;0;2;40.0;1;2;49.0;1;1;46.0;1;2;43.0;1;2;3;42.375
1101;30.470588235294116;49;33.205882352941174;32.0;39.1764705882353;47.0;38.733333333333334;8;45.0;44.0;40.0;30.0;35.42857142857143;0;14;14;0;7;7;0;1;30.0;1;2;31.0;1;3;37.0;1;2;0;0;2;39.0;1;2;37.0;1;1;46.0;1;2;31.0;1;2;2;39.0
