NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES
524;4;486.86;64.24;57.99;57.16;77.14;4;35.666666666666664;1;19;4;7;0;5;32.5;30.0;30.0;45.0;40.0;40.0;45.0;32.11764705882353;1;20;17;3;7;6;1;1;25.0;2;3;30.0;1;3;30.0;1;3;30.0;1;2;40.0;1;1;35.0;1;3;43.0;1;2;2
525;15;474.14;63.08;56.61;69.28;60.24;20;31.153846153846153;1;17;4;5;1;1;25.0;30.0;35.0;40.0;35.0;30.0;0.0;31.266666666666666;3;24;15;9;6;4;2;1;27.5;2;3;27.5;2;3;30.0;1;3;30.0;1;2;34.0;1;1;40.0;2;3;0.0;0;2;2
526;1;451.41;89.15;60.41;53.07;83.41;1;34.46666666666667;0;15;0;7;0;5;30.0;35.0;30.0;40.0;40.0;35.0;41.0;34.35294117647059;0;17;17;0;7;7;0;1;30.0;1;3;35.0;1;3;30.0;1;3;38.0;1;2;40.0;1;1;35.0;1;3;39.0;1;2;2
527;16;426.48;70.11;65.6;48.79;54.9;16;18.333333333333336;5;49;36;1;5;1;20.0;18.0;19.5;35.0;9.0;10.833333333333334;0.0;19.625;2;21;12;9;5;2;3;2;3.5;2;3;19.0;1;3;0.0;0;3;37.0;1;2;40.0;1;1;18.0;3;3;0.0;0;2;1
528;15;451.33;70.26;60.41;51.06;49.63;20;30.666666666666668;2;22;7;5;2;2;22.5;30.0;25.0;40.0;30.0;35.0;50.0;37.1764705882353;0;17;17;0;7;7;0;1;35.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;35.0;1;1;47.0;1;3;43.0;1;2;2
529;7;378.62;44.96;47.54;44.41;40.89;20;22.6969696969697;3;30;19;2;3;1;21.666666666666668;15.5;14.0;50.0;0.0;40.0;0.0;7.0;0;1;1;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;14.0;1;1;0.0;0;3;0.0;0;2;1
530;20;479.09;63.78;51.86;54.46;47.79;10;35.38461538461539;2;20;7;5;1;3;27.5;40.0;30.0;45.0;45.0;45.0;0.0;33.0;3;23;15;8;6;5;1;1;30.0;1;3;28.0;2;3;30.0;2;3;33.0;2;2;45.0;1;1;40.0;1;3;0.0;0;2;1
531;20;451.3;48.67;60.98;62.46;43.4;17;34.233333333333334;2;22;7;5;2;16;25.0;40.0;27.5;45.0;42.0;40.0;41.0;34.529411764705884;2;22;17;5;7;6;1;1;30.0;1;3;30.0;1;3;29.0;2;3;31.5;2;2;40.0;1;1;45.0;1;3;41.0;1;2;2
532;10;456.05;77.58;65.6;56.82;54.9;10;35.266666666666666;0;15;0;7;0;10;30.0;40.0;30.0;45.0;37.0;40.0;40.0;35.88235294117647;2;23;17;6;7;6;1;1;35.0;1;3;25.0;2;3;35.0;1;3;30.0;1;2;40.0;1;1;45.0;2;3;45.0;1;2;2
533;20;496.38;77.58;60.67;58.93;72.32;20;35.45454545454545;0;11;0;5;0;1;35.0;35.0;30.0;45.0;0.0;45.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;2
534;2;461.57;73.57;60.67;56.82;72.32;12;17.424242424242426;4;29;18;1;4;1;16.666666666666668;15.0;15.0;35.0;0.0;15.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;1
