NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIAS;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS
593;35.53333333333333;36.0;33.76470588235294;35.0;30.0;35.0;39.0;36.611111111111114;7;36.0;35.0;38.0;30.0;32.0;34.0;31.0;31.0;50;41.294117647058826;0;17;17;0;8;8;0;1;44.0;1;1;34.0;1;3;39.0;1;2;44.0;1;3;41.0;1;2;46.0;1;2;40.0;1;2;46.0;1;2;2
595;28.933333333333334;42.0;32.5;32.0;32.0;0.0;33.0;35.75;5;27.5;25.666666666666668;34.0;43.0;44.0;32.0;0.0;0.0;0;36.07142857142857;1;16;14;2;6;6;0;1;0.0;0;1;35.0;1;3;33.0;2;2;30.0;1;3;40.0;1;2;0.0;0;2;38.0;1;2;44.0;1;2;1
596;34.8;47.0;32.8235294117647;30.0;27.0;39.0;39.0;31.11111111111111;5;23.5;26.5;38.0;24.5;30.0;32.0;31.0;42.0;46;39.35294117647059;0;17;17;0;8;8;0;1;30.0;1;1;32.0;1;3;38.0;1;2;39.0;1;3;37.0;1;2;43.0;1;2;45.0;1;2;50.0;1;2;2
597;25.77777777777778;10.0;22.0;21.0;9.0;24.0;0.0;24.2;1;0.0;0.0;30.0;0.0;0.0;0.0;8.0;0.0;0;8.5;0;5;5;0;2;0;2;2;0.0;0;1;3.0;1;3;0.0;0;2;0.0;0;3;21.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;1
598;35.86666666666667;44.0;35.73529411764706;35.0;30.0;41.0;40.0;37.72222222222222;7;38.0;38.0;32.0;34.0;33.0;34.0;29.333333333333332;44.0;50;38.588235294117645;0;17;17;0;8;8;0;1;33.0;1;1;31.0;1;3;33.0;1;2;38.0;1;3;40.0;1;2;46.0;1;2;43.0;1;2;46.0;1;2;2
599;31.666666666666668;42.0;28.355555555555554;25.0;19.333333333333332;28.666666666666668;0.0;32.875;3;0.0;0.0;32.0;0.0;0.0;0.0;0.0;0.0;0;31.5;0;10;10;0;5;5;0;1;37.0;1;1;30.0;1;3;32.0;1;2;0.0;0;3;0.0;0;2;0.0;0;2;31.0;1;2;31.0;1;2;2
601;29.692307692307693;0.0;35.46666666666667;30.0;35.0;37.0;0.0;32.294117647058826;4;25.5;29.5;37.0;39.0;25.666666666666668;32.0;22.0;34.0;0;26.142857142857142;0;6;6;0;2;2;0;2;0.0;0;1;30.0;1;3;0.0;0;2;31.0;1;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;1
602;33.96666666666667;41.0;35.23529411764706;35.0;35.0;31.0;41.0;34.833333333333336;7;31.0;39.0;47.0;26.0;31.0;34.0;35.0;32.0;38;35.529411764705884;0;17;17;0;8;8;0;1;30.0;1;1;32.0;1;3;30.0;1;2;30.0;1;3;44.0;1;2;44.0;1;2;41.0;1;2;35.0;1;2;2
603;34.266666666666666;44.0;36.44117647058823;35.0;33.0;30.0;47.0;34.72222222222222;7;32.0;31.0;40.0;33.0;37.0;37.0;34.0;33.0;37;36.64705882352941;0;17;17;0;8;8;0;1;31.0;1;1;31.0;1;3;32.0;1;2;39.0;1;3;40.0;1;2;47.0;1;2;37.0;1;2;35.0;1;2;3
605;33.733333333333334;42.0;31.352941176470587;25.5;23.333333333333332;32.5;47.0;30.97222222222222;5;22.333333333333332;37.0;33.0;31.0;44.0;37.0;31.0;38.0;50;35.76470588235294;1;20;17;3;8;7;1;1;30.0;1;1;28.0;2;3;33.0;1;2;34.0;1;3;36.0;1;2;36.0;1;2;43.0;1;2;48.0;1;2;2
606;35.06666666666667;44.0;35.23529411764706;30.0;32.0;35.0;32.0;36.27777777777778;7;30.0;30.0;44.0;40.0;31.0;36.0;31.0;30.0;50;39.205882352941174;1;20;17;3;8;7;1;1;43.0;1;1;28.5;2;3;35.0;1;2;38.0;1;3;38.0;1;2;50.0;1;2;39.0;1;2;50.0;1;2;2
607;35.266666666666666;43.0;34.73529411764706;33.5;33.0;30.0;36.0;38.05555555555556;7;35.0;31.0;42.0;39.0;42.0;39.0;30.0;31.0;48;41.6764705882353;1;20;17;3;8;8;0;1;37.0;1;1;32.5;2;3;44.0;1;2;38.0;1;3;41.0;1;2;50.0;1;2;45.0;1;2;50.0;1;2;2
608;33.93333333333333;45.0;32.76470588235294;25.0;37.0;30.0;34.0;38.77777777777778;7;41.0;39.0;34.0;30.0;39.0;42.0;30.0;47.0;50;39.64705882352941;1;20;17;3;8;8;0;1;44.0;1;1;41.0;1;3;37.0;1;2;35.0;2;3;40.0;1;2;35.0;1;2;43.0;1;2;46.0;1;2;2
609;34.666666666666664;50.0;35.1764705882353;30.0;35.0;29.5;44.0;34.416666666666664;6;28.5;30.0;35.0;40.0;31.0;35.0;33.0;40.0;50;37.35294117647059;0;17;17;0;8;8;0;1;30.0;1;1;37.0;1;3;34.0;1;2;34.0;1;3;43.0;1;2;42.0;1;2;43.0;1;2;34.0;1;2;2
610;36.833333333333336;45.0;34.794117647058826;35.0;35.0;30.0;49.0;35.638888888888886;7;31.0;30.5;41.0;42.0;31.0;33.0;38.0;43.0;46;39.411764705882355;0;17;17;0;8;8;0;1;36.0;1;1;33.0;1;3;39.0;1;2;41.0;1;3;38.0;1;2;48.0;1;2;43.0;1;2;38.0;1;2;2
612;30.424242424242426;0.0;29.55;29.0;12.0;40.0;0.0;34.4;2;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0;33.0;0;9;9;0;5;3;2;1;25.0;1;1;0.0;0;3;18.0;1;2;0.0;0;3;38.0;1;2;0.0;0;2;48.0;1;2;32.0;1;2;2
613;32.0;40.0;35.35294117647059;29.0;30.0;40.0;42.0;36.80555555555556;6;28.5;30.0;30.0;34.0;32.5;34.0;29.0;44.0;50;37.529411764705884;0;17;17;0;8;8;0;1;31.0;1;1;30.0;1;3;36.0;1;2;35.0;1;3;42.0;1;2;50.0;1;2;44.0;1;2;34.0;1;2;2
614;37.733333333333334;43.0;34.88235294117647;32.0;35.0;30.0;41.0;36.611111111111114;7;35.0;31.0;39.0;37.0;34.0;35.0;33.0;33.0;40;40.0;0;17;17;0;8;8;0;1;37.0;1;1;38.0;1;3;38.0;1;2;39.0;1;3;44.0;1;2;46.0;1;2;41.0;1;2;37.0;1;2;2
615;26.766666666666666;10.0;29.352941176470587;27.666666666666668;28.0;32.0;35.0;20.529411764705884;3;7.333333333333333;19.0;30.0;0.0;0.0;0.0;29.5;0.0;0;17.11111111111111;2;13;8;5;4;1;3;2;23.0;1;1;11.0;2;3;0.0;0;2;0.0;0;3;33.0;1;2;0.0;0;2;16.0;2;2;0.0;0;2;1
616;35.4;44.0;32.44117647058823;35.0;25.0;29.5;30.0;37.94444444444444;7;34.0;39.0;42.0;32.0;36.0;36.0;30.0;45.0;42;39.88235294117647;0;17;17;0;8;8;0;1;44.0;1;1;32.0;1;3;35.0;1;2;38.0;1;3;40.0;1;2;50.0;1;2;44.0;1;2;43.0;1;2;2
617;31.76923076923077;0.0;30.853333333333335;30.0;22.6;30.0;0.0;32.588235294117645;5;33.0;36.0;40.0;21.0;0.0;0.0;22.5;34.0;0;36.583333333333336;0;12;12;0;6;6;0;1;32.0;1;1;41.0;1;3;30.0;1;2;0.0;0;3;35.0;1;2;0.0;0;2;44.0;1;2;33.0;1;2;2
618;29.756410256410255;0.0;20.466666666666665;23.333333333333332;3.0;35.0;0.0;22.0;1;0.0;0.0;32.0;0.0;0.0;0.0;0.0;36.0;0;30.0;0;4;4;0;1;1;0;1;0.0;0;1;0.0;0;3;0.0;1;2;0.0;0;3;0.0;0;2;0.0;0;2;45.0;1;2;0.0;0;2;1
619;38.0;41.0;35.64705882352941;35.0;35.0;30.0;38.0;36.166666666666664;7;30.0;30.0;31.0;30.0;32.5;39.0;31.0;42.0;43;36.35294117647059;0;17;17;0;8;8;0;1;30.0;1;1;33.0;1;3;38.0;1;2;33.0;1;3;39.0;1;2;40.0;1;2;46.0;1;2;32.0;1;2;2
622;35.53333333333333;44.0;36.0;30.0;30.0;35.0;41.0;36.0;7;33.0;35.0;41.0;40.0;40.0;44.0;41.0;37.0;47;38.588235294117645;0;17;17;0;8;8;0;1;33.0;1;1;34.0;1;3;34.0;1;2;33.0;1;3;38.0;1;2;50.0;1;2;42.0;1;2;47.0;1;2;3
624;35.733333333333334;49.0;38.26470588235294;40.0;30.5;40.0;47.0;39.0;7;32.0;33.0;42.0;43.0;33.0;38.0;40.0;43.0;38;40.470588235294116;0;17;17;0;8;8;0;1;40.0;1;1;39.0;1;3;39.0;1;2;33.0;1;3;41.0;1;2;46.0;1;2;40.0;1;2;50.0;1;2;3
625;30.77777777777778;46.0;28.91176470588235;23.5;22.333333333333332;35.0;33.0;35.94444444444444;7;33.0;37.0;26.666666666666668;38.0;29.0;34.0;28.5;30.0;43;36.029411764705884;3;24;17;7;8;7;1;1;32.5;2;1;28.0;2;3;31.0;1;2;30.0;2;3;31.0;1;2;50.0;1;2;47.0;1;2;44.0;1;2;2
626;34.2;46.0;36.529411764705884;35.0;31.0;32.0;41.0;40.05555555555556;7;38.0;32.0;42.0;37.0;35.0;38.0;38.0;44.0;43;38.88235294117647;0;17;17;0;8;8;0;1;35.0;1;1;38.0;1;3;38.0;1;2;38.0;1;3;40.0;1;2;44.0;1;2;43.0;1;2;34.0;1;2;2
627;33.8;46.0;37.94117647058823;30.0;35.0;32.0;50.0;38.833333333333336;6;41.0;25.0;40.0;18.5;33.0;34.0;30.0;43.0;0;39.411764705882355;1;19;17;2;8;8;0;1;30.0;1;1;36.0;1;3;38.0;1;2;38.0;1;3;46.0;1;2;47.0;2;2;44.0;1;2;34.0;1;2;2
628;35.333333333333336;40.0;35.666666666666664;35.0;30.0;40.0;0.0;24.0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;19.09090909090909;3;18;10;8;4;1;3;1;0.0;0;1;17.0;2;3;16.0;2;2;19.0;2;3;0.0;0;2;35.0;1;2;0.0;0;2;0.0;0;2;1
632;33.666666666666664;43.0;35.35294117647059;30.0;32.0;30.0;40.0;38.5;7;36.0;35.0;46.0;36.0;40.0;41.0;33.0;44.0;46;40.35294117647059;0;17;17;0;8;8;0;1;35.0;1;1;41.0;1;3;38.0;1;2;34.0;1;3;36.0;1;2;47.0;1;2;46.0;1;2;46.0;1;2;2
