NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ
945;38.588235294117645;36.76470588235294;37.0;43.266666666666666;46.0;45.92857142857143;14;44.0;45.0;49.0;37.5;1;18;16;2;8;8;0;1;47.0;1;1;34.0;1;2;30.0;2;2;41.0;1;3;30.0;1;2;42.0;1;2;44.0;1;2;35.0;1;2;3
946;36.1764705882353;36.64705882352941;33.0;40.4;28.0;36.392857142857146;17;31.0;37.0;33.0;34.109375;2;27;16;11;8;7;1;1;45.0;1;1;32.0;1;2;36.0;1;2;25.25;4;3;31.5;2;2;43.0;1;2;36.0;1;2;34.0;1;2;2
948;40.64705882352941;40.411764705882355;41.0;40.86666666666667;39.0;43.285714285714285;14;39.0;43.0;41.0;35.8;0;15;15;0;7;7;0;1;0.0;0;1;39.0;1;2;33.0;1;2;31.0;1;3;34.0;1;2;45.0;1;2;40.0;1;2;31.0;1;2;2
949;31.323529411764707;33.76470588235294;28.5;32.5;38.0;35.285714285714285;16;27.5;34.0;42.0;29.633333333333333;3;26;15;11;7;4;3;1;0.0;0;1;32.0;1;2;17.0;4;2;26.5;2;3;23.5;2;2;43.0;1;2;36.0;1;2;31.0;1;2;2
951;40.35294117647059;43.588235294117645;45.0;44.0;46.0;44.357142857142854;14;43.0;48.0;44.0;40.5625;0;16;16;0;8;8;0;1;49.0;1;1;45.0;1;2;40.0;1;2;30.0;1;3;45.0;1;2;38.0;1;2;43.0;1;2;44.0;1;2;3
952;35.94117647058823;37.76470588235294;39.0;42.333333333333336;46.0;43.142857142857146;14;39.0;43.0;47.0;38.0625;0;16;16;0;8;8;0;1;45.0;1;1;43.0;1;2;33.0;1;2;30.0;1;3;30.0;1;2;43.0;1;2;43.0;1;2;45.0;1;2;2
954;35.294117647058826;39.94117647058823;39.0;39.06666666666667;38.0;37.964285714285715;17;31.0;46.0;38.0;37.3125;1;18;16;2;8;8;0;1;50.0;1;1;40.0;1;2;30.0;2;2;37.0;1;3;33.0;1;2;42.0;1;2;30.0;1;2;43.0;1;2;3
955;38.94117647058823;41.411764705882355;39.0;42.8;46.0;40.142857142857146;14;38.0;43.0;48.0;39.4375;1;18;16;2;8;8;0;1;45.0;1;1;42.0;1;2;41.0;1;2;32.0;1;3;30.0;2;2;40.0;1;2;45.0;1;2;47.0;1;2;3
956;35.35294117647059;32.705882352941174;26.0;34.86666666666667;35.0;31.818181818181817;10;30.0;40.0;41.0;32.4;1;14;10;4;5;4;1;1;0.0;0;1;0.0;0;2;19.0;3;2;0.0;0;3;35.0;1;2;33.0;1;2;38.0;1;2;37.0;1;2;2
958;33.94117647058823;33.23529411764706;35.0;35.666666666666664;36.0;34.714285714285715;18;25.0;41.0;36.0;34.729166666666664;1;20;16;4;8;7;1;1;45.0;1;1;36.0;1;2;21.333333333333332;3;2;32.0;1;3;30.0;1;2;38.0;1;2;45.0;1;2;37.0;1;2;2
