NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
1422;31.7;5;27.0;30.0;34.0;36.0;36.35294117647059;17;17;7;34.0;31.0;34.0;39.0;44.0;0;16;16;0;6;6;0;1;39.0;1;3;30.0;1;3;38.0;1;3;31.0;1;2;40.0;1;2;39.0;1;3;0.0;0;2;1;28.11764705882353
1423;33.3;6;31.5;30.0;36.0;38.0;36.23529411764706;17;17;7;33.0;30.0;32.0;44.0;36.0;1;21;18;3;8;7;1;1;30.0;1;3;32.5;2;3;31.0;1;3;30.0;1;2;33.0;1;2;35.0;1;3;35.0;1;2;2;34.77777777777778
1424;39.2;7;37.0;33.0;46.0;46.0;35.64705882352941;30;17;7;31.0;30.0;30.0;43.0;35.0;3;26;18;8;10;7;3;1;35.0;2;3;46.0;1;3;43.0;1;3;42.0;1;2;42.0;2;2;41.0;2;3;46.0;1;2;2;36.05555555555556
1428;38.69230769230769;5;49.0;33.0;26.0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1430;36.0;6;39.0;39.0;34.0;0.0;16.846153846153847;13;13;0;14.0;8.0;0.0;28.0;0.0;0;2;2;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;27.0;1;2;0.0;0;3;0.0;0;2;1;0.0
1432;39.53333333333333;7;39.0;43.0;37.0;44.0;36.3235294117647;20;17;7;35.0;36.5;38.0;42.0;39.0;0;18;18;0;7;7;0;1;40.0;1;3;47.0;1;3;44.0;1;3;40.0;1;2;45.0;1;2;42.0;1;3;42.0;1;2;2;35.94117647058823
1434;24.26923076923077;3;16.0;40.0;38.0;0.0;9.8;4;4;0;0.0;0.0;0.0;13.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1435;41.333333333333336;7;45.0;44.0;43.0;42.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1436;37.8;7;33.5;36.0;44.0;35.0;36.64705882352941;17;17;7;30.0;36.0;30.0;44.0;43.0;0;18;18;0;7;7;0;1;38.0;1;3;44.0;1;3;44.0;1;3;32.0;1;2;31.0;1;2;42.0;1;3;42.0;1;2;2;34.411764705882355
1437;36.46666666666667;7;33.0;35.0;43.0;41.0;13.2;10;10;1;3.0;0.0;0.0;11.0;0.0;1;6;4;2;3;1;2;2;0.0;0;3;0.0;0;3;0.0;0;3;23.0;2;2;37.0;1;2;0.0;0;3;0.0;0;2;1;0.0
1438;40.4;7;40.0;43.0;41.0;45.0;39.529411764705884;17;17;7;48.0;33.0;31.0;46.0;39.0;0;18;18;0;7;7;0;1;38.0;1;3;42.0;1;3;38.0;1;3;37.0;1;2;38.0;1;2;40.0;1;3;47.0;1;2;2;38.72222222222222
1439;34.38461538461539;5;28.0;35.0;41.0;0.0;28.62222222222222;34;15;3;23.666666666666668;20.0;26.666666666666668;34.0;0.0;1;19;16;3;7;5;2;1;33.0;1;3;30.0;1;3;38.0;1;3;40.0;1;2;30.0;1;2;25.5;2;3;0.0;0;2;1;29.372549019607842
1440;37.766666666666666;7;35.0;39.0;44.0;35.0;30.852941176470587;26;17;5;30.0;26.0;31.0;40.0;35.0;0;18;18;0;7;7;0;1;36.0;1;3;44.0;1;3;41.0;1;3;34.0;1;2;39.0;1;2;40.0;1;3;45.0;1;2;2;30.705882352941178
1441;33.93333333333333;7;30.0;40.0;38.0;30.0;32.05882352941177;23;17;5;28.0;31.0;30.0;39.0;33.0;0;16;16;0;6;6;0;1;36.0;1;3;39.0;1;3;34.0;1;3;44.0;1;2;48.0;1;2;39.0;1;3;0.0;0;2;2;33.411764705882355
1442;39.93333333333333;7;35.0;43.0;44.0;43.0;37.705882352941174;17;17;7;31.0;36.0;34.0;43.0;46.0;0;18;18;0;7;7;0;1;34.0;1;3;41.0;1;3;42.0;1;3;42.0;1;2;41.0;1;2;43.0;1;3;50.0;1;2;2;37.35294117647059
1443;33.13333333333333;6;27.5;35.0;35.0;39.0;29.0;18;15;3;29.0;21.0;23.0;31.0;0.0;0;5;5;0;2;1;1;2;0.0;0;3;0.0;0;3;0.0;0;3;30.0;1;2;0.0;0;2;20.0;1;3;0.0;0;2;1;0.0
1444;41.2;7;44.0;39.0;44.0;49.0;37.470588235294116;17;17;7;32.0;41.0;32.0;43.0;46.0;0;18;18;0;7;7;0;1;37.0;1;3;40.0;1;3;45.0;1;3;33.0;1;2;50.0;1;2;36.0;1;3;49.0;1;2;2;39.888888888888886
1445;38.38461538461539;6;40.0;31.0;41.0;0.0;32.36666666666667;18;15;5;30.0;25.5;32.0;44.0;0.0;0;14;14;0;5;5;0;1;36.0;1;3;42.0;1;3;43.0;1;3;30.0;1;2;0.0;0;2;44.0;1;3;0.0;0;2;2;35.37254901960784
1446;37.93333333333333;7;37.0;41.0;40.0;44.0;33.61764705882353;20;17;6;26.5;30.0;30.0;41.0;47.0;0;18;18;0;7;7;0;1;35.0;1;3;41.0;1;3;42.0;1;3;30.0;1;2;47.0;1;2;41.0;1;3;47.0;1;2;2;33.8235294117647
1447;38.8;5;42.0;37.0;38.0;0.0;25.46153846153846;13;13;1;22.0;20.0;0.0;28.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1448;34.333333333333336;7;30.0;30.0;42.0;41.0;31.38235294117647;32;17;4;22.0;27.666666666666668;30.0;39.0;46.0;0;16;16;0;6;6;0;1;33.0;1;3;33.0;1;3;34.0;1;3;33.0;1;2;36.0;1;2;39.0;1;3;0.0;0;2;2;31.294117647058822
1449;40.56666666666667;7;41.0;35.0;44.0;50.0;36.73529411764706;20;17;6;36.0;29.5;30.0;44.0;46.0;0;18;18;0;7;7;0;1;34.0;1;3;43.0;1;3;39.0;1;3;45.0;1;2;47.0;1;2;44.0;1;3;39.0;1;2;2;39.94444444444444
1450;40.6;7;43.0;39.0;41.0;45.0;37.73529411764706;20;17;6;29.5;35.0;35.0;46.0;48.0;0;18;18;0;7;7;0;1;32.0;1;3;45.0;1;3;34.0;1;3;34.0;1;2;41.0;1;2;31.0;1;3;46.0;1;2;2;39.94444444444444
1451;33.76923076923077;6;31.0;32.0;39.0;0.0;32.333333333333336;26;15;4;31.0;23.333333333333332;27.0;43.0;0.0;1;18;16;2;7;5;2;1;40.0;1;3;33.0;1;3;34.0;1;3;27.5;2;2;33.0;1;2;43.0;1;3;0.0;0;2;1;29.245098039215687
1452;39.86666666666667;7;43.0;35.0;39.0;46.0;33.7;18;15;6;31.5;34.0;34.0;33.0;0.0;0;10;10;0;4;4;0;1;37.0;1;3;0.0;0;3;48.0;1;3;31.0;1;2;45.0;1;2;0.0;0;3;0.0;0;2;1;0.0
1453;28.133333333333333;4;33.0;26.5;14.0;33.0;24.0;10;10;1;23.0;26.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1454;34.07692307692308;5;39.0;24.0;37.0;0.0;22.5;33;15;0;25.333333333333332;18.0;25.0;21.5;0.0;1;16;13;3;6;4;2;2;38.0;1;3;9.0;2;3;35.0;1;3;40.0;1;2;36.0;1;2;0.0;0;3;0.0;0;2;1;16.636363636363637
1455;39.2;7;35.0;42.0;47.0;42.0;37.26470588235294;20;17;7;30.5;32.0;39.0;43.0;46.0;0;18;18;0;7;7;0;1;45.0;1;3;34.0;1;3;46.0;1;3;34.0;1;2;42.0;1;2;43.0;1;3;48.0;1;2;2;37.705882352941174
1456;39.833333333333336;7;42.0;36.0;40.0;43.0;38.23529411764706;20;17;7;33.0;40.0;35.0;47.0;45.0;0;18;18;0;7;7;0;1;41.0;1;3;36.0;1;3;44.0;1;3;46.0;1;2;44.0;1;2;47.0;1;3;41.0;1;2;2;33.92857142857143
1457;38.46666666666667;7;38.0;37.0;37.0;41.0;36.0;17;17;7;32.0;39.0;30.0;40.0;46.0;0;18;18;0;7;7;0;1;35.0;1;3;44.0;1;3;45.0;1;3;41.0;1;2;40.0;1;2;40.0;1;3;47.0;1;2;3;40.166666666666664
1458;33.6;5;26.5;34.0;38.0;47.0;30.3;10;10;3;24.0;0.0;0.0;34.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1459;36.93333333333333;6;28.0;31.0;41.0;47.0;33.6764705882353;26;17;5;32.0;27.0;31.0;41.0;42.0;0;18;18;0;7;7;0;1;34.0;1;3;36.0;1;3;43.0;1;3;46.0;1;2;41.0;1;2;33.0;1;3;42.0;1;2;2;35.72222222222222
1460;30.23076923076923;3;24.5;25.5;28.5;0.0;27.5;6;6;1;25.0;0.0;0.0;30.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1462;37.6;7;35.0;32.0;39.0;42.0;38.294117647058826;17;17;7;41.0;30.0;34.0;43.0;45.0;1;21;18;3;8;6;2;1;25.5;2;3;46.0;1;3;34.0;1;3;31.0;1;2;39.0;1;2;43.0;1;3;45.0;1;2;2;38.333333333333336
1463;27.466666666666665;5;16.0;8.0;38.0;42.0;13.727272727272727;17;11;1;9.5;0.0;5.0;31.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1465;23.822222222222226;5;13.333333333333334;32.0;39.0;33.0;16.1;16;10;2;5.5;0.0;0.0;32.0;0.0;0;3;3;0;1;0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;3.0;1;3;0.0;0;2;1;0.0
1466;38.6;7;41.0;39.0;36.0;44.0;33.61764705882353;23;17;7;32.0;36.0;34.0;30.5;40.0;2;21;16;5;8;6;2;1;31.0;1;3;39.0;1;3;41.0;1;3;32.5;2;2;38.0;1;2;30.5;2;3;0.0;0;2;2;34.911764705882355
1467;32.93333333333333;5;24.0;34.0;37.0;47.0;35.0;23;17;6;36.0;23.0;31.0;41.0;47.0;2;24;18;6;9;5;4;1;29.0;2;3;31.0;1;3;42.0;1;3;30.0;1;2;35.0;1;2;17.5;2;3;46.0;1;2;2;31.11764705882353
1468;38.06666666666667;7;32.0;37.0;38.0;48.0;33.11764705882353;20;17;6;25.0;30.0;30.0;39.0;45.0;0;18;18;0;7;7;0;1;42.0;1;3;34.0;1;3;38.0;1;3;31.0;1;2;41.0;1;2;39.0;1;3;48.0;1;2;2;32.588235294117645
1469;36.86666666666667;6;27.5;34.0;37.0;43.0;31.63725490196078;30;17;5;30.0;30.0;27.666666666666668;38.0;47.0;0;18;18;0;7;7;0;1;37.0;1;3;30.0;1;3;37.0;1;3;30.0;1;2;32.0;1;2;33.0;1;3;37.0;1;2;2;38.13333333333333
1470;34.2;7;30.0;35.0;36.0;42.0;33.85294117647059;20;17;6;28.5;33.0;30.0;41.0;40.0;0;18;18;0;7;7;0;1;30.0;1;3;45.0;1;3;33.0;1;3;37.0;1;2;41.0;1;2;41.0;1;3;39.0;1;2;2;34.27777777777778
1471;38.53333333333333;7;31.0;35.0;38.0;46.0;34.05882352941177;20;17;7;31.0;31.0;30.0;40.0;39.0;0;18;18;0;7;7;0;1;43.0;1;3;37.0;1;3;44.0;1;3;30.0;1;2;41.0;1;2;40.0;1;3;46.0;1;2;2;36.470588235294116
1472;34.4;7;30.5;30.0;37.0;43.0;36.11764705882353;17;17;7;34.0;33.0;35.0;44.0;41.0;0;18;18;0;7;7;0;1;43.0;1;3;44.0;1;3;38.0;1;3;39.0;1;2;42.0;1;2;40.0;1;3;43.0;1;2;1;29.470588235294116
1473;35.333333333333336;7;30.5;35.0;40.0;44.0;32.470588235294116;32;17;5;31.0;25.333333333333332;30.0;38.0;44.0;1;21;18;3;8;7;1;1;38.0;1;3;41.0;1;3;37.0;1;3;35.0;1;2;43.0;1;2;35.0;2;3;43.0;1;2;2;30.08823529411765
1474;35.4;7;30.0;35.0;37.0;45.0;34.1764705882353;25;17;6;30.333333333333332;36.0;26.5;39.0;40.0;1;19;16;3;7;6;1;1;30.5;2;3;36.0;1;3;38.0;1;3;35.0;1;2;43.0;1;2;39.0;1;3;0.0;0;2;2;34.05882352941177
1475;36.266666666666666;7;34.0;34.0;37.0;33.0;35.205882352941174;26;17;6;36.0;33.0;28.5;40.0;45.0;1;21;18;3;8;7;1;1;33.0;1;3;30.0;1;3;38.0;1;3;38.0;1;2;31.0;1;2;35.0;2;3;42.0;1;2;2;32.8235294117647
1476;36.06666666666667;7;31.0;33.0;38.0;40.0;32.82222222222222;28;15;4;32.0;24.0;28.666666666666668;42.0;0.0;2;22;16;6;8;6;2;1;30.0;2;3;33.5;2;3;39.0;1;3;30.0;1;2;37.0;1;2;42.0;1;3;0.0;0;2;1;24.58823529411765
1477;36.6;7;30.0;38.0;37.0;37.0;35.44117647058823;23;17;6;31.0;28.5;30.0;42.0;46.0;0;18;18;0;7;7;0;1;31.0;1;3;39.0;1;3;34.0;1;3;36.0;1;2;47.0;1;2;42.0;1;3;35.0;1;2;2;33.588235294117645
1478;38.266666666666666;7;34.0;44.0;38.0;43.0;43.05882352941177;17;17;7;45.0;44.0;35.0;43.0;46.0;0;18;18;0;7;7;0;1;39.0;1;3;46.0;1;3;46.0;1;3;47.0;1;2;42.0;1;2;43.0;1;3;44.0;1;2;3;40.0
1479;29.23076923076923;4;17.5;29.0;39.0;0.0;18.9;10;10;2;4.0;0.0;0.0;35.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;1;0.0
1481;37.86666666666667;7;34.0;35.0;39.0;41.0;33.73529411764706;23;17;5;28.0;32.0;34.0;38.0;45.0;0;18;18;0;7;7;0;1;35.0;1;3;44.0;1;3;48.0;1;3;42.0;1;2;39.0;1;2;38.0;1;3;44.0;1;2;2;34.5
1483;36.8;6;28.5;37.0;37.0;44.0;37.705882352941174;20;17;7;40.0;30.0;32.0;46.0;50.0;0;18;18;0;7;7;0;1;32.0;1;3;32.0;1;3;44.0;1;3;44.0;1;2;44.0;1;2;46.0;1;3;44.0;1;2;2;35.529411764705884
1484;35.93333333333333;7;31.0;33.0;39.0;42.0;34.1764705882353;26;17;5;26.5;29.0;32.0;46.0;40.0;0;18;18;0;7;7;0;1;38.0;1;3;34.0;1;3;44.0;1;3;42.0;1;2;43.0;1;2;46.0;1;3;45.0;1;2;2;35.55555555555556
1485;35.2;7;30.0;36.0;39.0;45.0;35.73529411764706;23;17;7;31.5;38.0;35.0;32.0;49.0;1;19;16;3;7;6;1;1;34.0;1;3;36.0;1;3;35.0;1;3;31.0;1;2;40.0;1;2;31.5;2;3;0.0;0;2;2;36.588235294117645
1487;33.2;7;32.0;33.0;36.0;33.0;24.533333333333335;34;15;3;20.666666666666668;22.333333333333332;30.0;17.5;0.0;0;4;4;0;2;2;0;2;0.0;0;3;0.0;0;3;0.0;0;3;31.0;1;2;36.0;1;2;0.0;0;3;0.0;0;2;1;23.333333333333332
