NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_CD&C,VECES_CD&C,CREDITOS_CD&C,NOTA_DITO,VECES_DITO,CREDITOS_DITO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,ESTADO_UNO,PROMEDIO_DOS
32,1,4,43,1,2,34,1,1,40,1,2,30,1,3,37,1,1,35,1,2,0,15,15,0,7,7,0,1,1,33.76470588
27,1,4,37,1,2,38,1,1,37,1,2,35,1,3,45,1,1,36,1,2,0,15,11,4,7,6,1,1,1,0
26,1,4,41,1,2,30,1,1,35,1,2,26,1,3,36,1,1,38,1,2,0,15,8,7,7,5,2,1,1,0
27,3,4,40,1,2,37,1,1,31,1,2,31,3,3,36,1,1,32,1,2,2,15,11,4,7,6,1,2,3,36.27272727
30,1,4,41,1,2,36,1,1,42,1,2,35,1,3,38,1,1,48,1,2,0,15,15,0,7,7,0,1,1,35.35294118
16,1,4,28,1,2,25,1,1,27,1,2,27,1,3,28,1,1,25,1,2,0,15,0,15,7,0,7,2,3,0
35,2,4,38,1,2,33,1,1,40,1,2,30,2,3,39,1,1,30,1,2,2,15,15,0,7,7,0,1,1,34.70588235
30,1,4,40,1,2,37,1,1,43,1,2,31,1,3,43,1,1,38,1,2,0,15,15,0,7,7,0,1,1,32.35294118
30,1,4,47,1,2,32,1,1,49,1,2,36,1,3,40,1,1,39,1,2,0,15,15,0,7,7,0,1,1,35.70588235
34,1,4,36,1,2,35,1,1,39,1,2,31,1,3,42,1,1,32,1,2,0,15,15,0,7,7,0,1,1,39.05882353
31,2,4,40,1,2,34,1,1,37,1,2,30,1,3,32,1,1,38,1,2,1,15,15,0,7,7,0,1,1,33
30,1,4,35,1,2,34,1,1,34,1,2,31,1,3,37,1,1,37,1,2,0,15,15,0,7,7,0,1,1,31.17647059
10,1,4,30,1,2,23,1,1,28,1,2,21,1,3,28,1,1,23,1,2,0,15,2,13,7,1,6,2,3,0
44,2,4,43,1,2,35,1,1,43,1,2,40,1,3,37,1,1,44,1,2,1,15,15,0,7,7,0,1,1,39.88235294
20,1,4,29,1,2,31,1,1,30,1,2,24,1,3,33,1,1,14,1,2,0,15,4,11,7,3,4,2,3,0
36,3,4,34,1,2,30,1,1,44,1,2,34,1,3,36,1,1,33,1,2,1,15,15,0,7,7,0,2,3,32.94117647
33,2,4,39,1,2,36,1,1,39,1,2,31,2,3,36,1,1,33,1,2,2,15,15,0,7,7,0,1,1,34.70588235
31,2,4,42,1,2,36,1,1,38,1,2,38,1,3,33,1,1,48,1,2,1,15,15,0,7,7,0,1,1,35.64705882
31,1,4,47,1,2,37,1,1,40,1,2,39,1,3,36,1,1,28,1,2,0,15,13,2,7,6,1,1,1,0
32,2,4,41,1,2,37,1,1,35,1,2,31,1,3,38,1,1,39,1,2,1,15,15,0,7,7,0,1,1,34.05882353
33,2,4,40,1,2,38,1,1,36,1,2,30,1,3,40,1,1,39,1,2,1,15,15,0,7,7,0,1,1,37.76470588
32,2,4,43,1,2,32,1,1,35,1,2,30,1,3,38,1,1,35,1,2,1,15,15,0,7,7,0,1,1,33.23529412
10,1,4,3,1,2,0,1,1,0,1,2,4,1,3,5,1,1,0,1,2,0,15,0,15,7,0,7,2,3,0
37,2,4,38,1,2,37,1,1,40,1,2,41,1,3,42,1,1,36,1,2,1,15,15,0,7,7,0,1,1,36.58823529
42,2,4,40,1,2,34,1,1,36,1,2,32,2,3,34,1,1,33,1,2,2,15,15,0,7,7,0,1,1,36.47058824
25,2,4,34,1,2,32,1,1,33,1,2,25,2,3,34,1,1,36,1,2,2,15,8,7,7,5,2,1,1,24.66666667
21,2,4,32,1,2,25,1,1,42,1,2,18,1,3,35,1,1,25,1,2,1,15,5,10,7,3,4,2,3,0
36,3,4,33,1,2,33,1,1,43,1,2,31,2,3,40,1,1,38,1,2,2,15,15,0,7,7,0,2,3,34.29411765
