NOTA_DIFERENCIAL,VECES_DIFERENCIAL,CREDITOS_DIFERENCIAL,NOTA_PROG_BASICA,VECES_PROG_BASICA,CREDITOS_PROG_BASICA,NOTA_CATEDRA_FJC,VECES_CATEDRA_FJC,CREDITOS_CATEDRA_FJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEMINARIO,VECES_SEMINARIO,CREDITOS_SEMINARIO,NOTA_CATEDRA_DEM,VECES_CATEDRA_DEM,CREDITOS_CATEDRA_DEM,NOTA_CATEDRA_CON,VECES_CATEDRA_CON,CREDITOS_CATEDRA_CON,NOTA_LOGICA,VECES_LOGICA,CREDITOS_LOGICA,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,PROMEDIO_UNO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,RENDIMIENTO_1
31,2,4,24.33333333,3,3,31,1,1,31,1,2,37,1,1,30,1,1,42,1,1,32,1,3,0,0,0,19.03846154,3,26,13,13,11,7,4,2,1
34,1,4,32.5,2,3,34,1,1,39,1,2,37,1,1,28.5,2,1,33,1,1,35,1,3,0,0,0,27.45,2,20,15,5,10,7,3,2,1
14.75,4,4,40,1,3,8.5,4,1,0,0,0,32,1,1,4.75,4,1,6,4,1,0,0,0,0,0,0,7.1953125,12,32,4,28,18,2,16,2,1
14,1,4,38,1,3,19.5,2,1,22,2,2,42,1,1,37,1,1,41,1,1,31,1,3,0,0,0,23.5,2,19,9,10,10,5,5,2,1
31,1,4,46,1,3,36,1,1,40,1,2,45,1,1,41,1,1,41,1,1,36,1,3,41,1,2,38.61111111,0,18,18,0,9,9,0,1,2
26.5,2,4,39,1,3,40,1,1,43,1,2,45,1,1,39,1,1,39,1,1,38,1,3,0,1,2,26.63636364,1,22,12,10,10,7,3,2,1
34,1,4,36,1,3,36,1,1,47,1,2,43,1,1,38,1,1,43,1,1,37,1,3,48,1,2,39.16666667,0,18,18,0,9,9,0,1,2
0,0,0,0,0,0,9,1,1,11,1,2,25,1,1,22,1,1,24,1,1,19,1,3,0,0,0,17.66666667,0,9,0,9,6,0,6,2,1
32,1,4,37,1,3,31,1,1,42,1,2,42,1,1,39,1,1,40,1,1,37,1,3,41,1,2,37.11111111,0,18,18,0,9,9,0,1,2
32,1,4,46,1,3,42,1,1,50,1,2,42,1,1,50,1,1,38,1,1,43,1,3,43,1,2,41.83333333,0,18,18,0,9,9,0,1,3
30,2,4,34,1,3,24.66666667,3,1,35,1,2,36,1,1,33,1,1,38,1,1,34,1,3,0,0,0,23.89393939,3,22,15,7,11,7,4,2,1
