NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_DDP,VECES_DDP,CREDITOS_DDP,NOTA_IO_DOS,VECES_IO_DOS,CREDITOS_IO_DOS,NOTA_CONEM,VECES_CONEM,CREDITOS_CONEM,NOTA_TDE,VECES_TDE,CREDITOS_TDE,NOTAS_RDC,VECES_RDC,CREDITOS_RDC,NOTA_CTRL,VECES_CTRL,CREDITOS_CTRL,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
32,1,2,41,1,3,36,1,2,31,3,3,36,1,3,39,1,2,30,3,2,2,27,17,10,11,7,4,2,18.63636364
30,1,2,42,1,3,38,1,2,37,2,3,42,1,3,41,1,2,30,1,2,1,20,17,3,8,7,1,1,38.15
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
33,1,2,42,1,3,34,1,2,43,1,3,45,1,3,43,1,2,41,1,2,0,17,17,0,7,7,0,1,38.33333333
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
38,3,2,42,1,3,30,1,2,30,1,3,40,1,3,42,1,2,43,1,2,1,21,17,4,9,7,2,1,28.17391304
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,22.5
49,1,2,47,1,3,30,1,2,49,2,3,37,1,3,42,1,2,35,1,2,1,20,17,3,8,7,1,1,26.45833333
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
45,1,2,42,1,3,40,1,2,31,1,3,38,1,3,40,1,2,34,1,2,0,17,17,0,7,7,0,1,27.20833333
38,1,2,46,1,3,41,1,2,36,1,3,39,1,3,40,1,2,45,1,2,0,17,17,0,7,7,0,1,36.88888889
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
40,1,2,47,1,3,36,1,2,39,1,3,40,1,3,41,1,2,31,1,2,0,17,17,0,7,7,0,1,24.72413793
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
33,1,2,47,1,3,32,1,2,34,2,3,39,1,3,41,1,2,34,1,2,1,20,17,3,8,7,1,1,27.65217391
34,1,2,36,1,3,31,1,2,35,2,3,42,1,3,39,1,2,30,1,2,1,20,17,3,8,7,1,1,35.44444444
35,1,2,50,2,3,0,0,2,0,0,3,0,0,3,38,1,2,30,1,2,1,12,9,3,5,4,1,2,19.84615385
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
42,1,2,46,1,3,39,1,2,40,1,3,41,1,3,43,1,2,44,1,2,0,17,17,0,7,7,0,1,36.16666667
26,2,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,1,4,0,4,2,0,2,2,36
39,1,2,46,1,3,36,1,2,30,1,3,43,1,3,41,1,2,42,1,2,0,17,17,0,7,7,0,1,33.0952381
38,1,2,30,2,3,45,1,2,21,1,3,18,1,3,38,1,2,12,1,2,1,20,9,11,8,4,4,2,14.09090909
