CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,ESTADO CINCO,PROMEDIO_SEIS,NOTA_ECO_UNO,VECES_ECO_UNO,CREDITOS_ECO_UNO,NOTA_ME,VECES_ME,CREDITOS_ME,NOTA_EST,VECES_EST,CREDITOS_EST,NOTA_AGEO,VECES_AGEO,CREDITOS_AGEO,NOTA_BD,VECES_BD,CREDITOS_BD,NOTA_CARTO,VECES_CARTO,CREDITOS_CARTO,NOTAS_SISC,VECES_SISC,CREDITOS_SISC
2,18,18,0,7,7,0,2,3,35.05882353,44,2,2,33,1,2,38,1,2,36,3,3,32,1,3,34,1,3,37,1,3
2,18,18,0,7,7,0,1,1,38.41176471,30,2,2,35,1,2,35,1,2,36,1,3,38,2,3,43,1,3,38,1,3
0,18,8,10,3,3,4,2,3,39.8,32,1,2,0,0,2,0,0,2,0,0,3,0,0,3,36,1,3,34,1,3
0,18,18,0,7,7,0,1,1,40.88235294,38,1,2,45,1,2,40,1,2,40,1,3,45,1,3,33,1,3,43,1,3
0,18,18,0,7,7,0,1,1,35.41176471,35,1,2,39,1,2,40,1,2,33,1,3,32,1,3,38,1,3,32,1,3
2,18,18,0,7,7,0,1,1,38.70588235,37,1,2,36,1,2,39,1,2,30,2,3,32,2,3,37,1,3,38,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,37.17647059,30,1,2,34,2,2,44,1,2,32,1,3,32,1,3,39,1,3,34,2,3
1,18,18,0,7,7,0,1,1,38.23529412,32,2,2,30,1,2,42,1,2,32,1,3,42,1,3,38,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,13,5,5,5,2,1,1,35.66666667,39,1,2,0,0,2,41,1,2,30,2,3,33,1,3,0,0,3,42,1,3
2,18,18,0,7,7,0,1,1,38.29411765,30,1,2,33,1,2,38,1,2,35,2,3,34,2,3,35,1,3,30,1,3
4,18,18,0,7,7,0,1,1,35.76470588,38,2,2,31,1,2,42,2,2,35,2,3,30,1,3,33,2,3,31,1,3
1,18,18,0,7,7,0,1,1,37.82352941,38,1,2,37,1,2,48,1,2,43,2,3,39,1,3,40,1,3,39,1,3
