CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
0,14,14,0,6,6,0,1,2.63824E+14,38,1,4,30,1,3,41,1,1,35,1,2,42,1,1,44,1,3
0,14,14,0,6,6,0,1,6.88235E+14,34,1,4,41,1,3,44,1,1,44,1,2,41,1,1,44,1,3
1,14,11,3,6,5,1,1,2.81765E+14,30,1,4,27,2,3,39,1,1,34,1,2,32,1,1,37,1,3
3,14,4,10,6,3,3,2,1.05882E+14,13,2,4,16,2,3,40,1,1,30,1,2,41,1,1,12.5,2,3
0,14,14,0,6,6,0,1,2.66471E+14,31,1,4,37,1,3,40,1,1,30,1,2,40,1,1,42,1,3
3,14,6,8,6,3,3,2,2.64706E+14,11.33333333,3,4,23,2,3,40,1,1,37,1,2,3.333333333,3,1,30,1,3
0,14,1,13,6,6,0,2,0,9,1,4,13,1,3,43,1,1,18,1,2,15,1,1,11,1,3
0,14,14,0,6,6,0,1,3.23235E+14,32,1,4,30,1,3,42,1,1,37,1,2,36,1,1,44,1,3
0,14,14,0,6,6,0,1,2.87059E+14,40,1,4,37,1,3,45,1,1,30,1,2,43,1,1,40,1,3
0,14,14,0,6,6,0,1,7.90196E+14,38,1,4,36,1,3,45,1,1,35,1,2,41,1,1,31,1,3
2,14,7,7,6,4,2,2,2.42941E+14,25.5,2,4,22,3,3,42,1,1,42,1,2,40,1,1,35,1,3
2,14,7,7,6,4,2,2,8.41176E+14,19.66666667,3,4,25.33333333,3,3,40,1,1,32,1,2,33,1,1,38,1,3
0,14,14,0,6,6,0,1,2.97647E+14,30,1,4,32,1,3,45,1,1,35,1,2,40,1,1,38,1,3
0,14,14,0,6,6,0,1,3.17647E+14,35,1,4,35,1,3,44,1,1,37,1,2,33,1,1,37,1,3
1,14,14,0,6,5,1,1,2.82353E+14,32,2,4,35,1,3,41,1,1,36,1,2,42,1,1,35,1,3
0,14,14,0,6,6,0,1,3.31176E+14,30,1,4,38,1,3,42,1,1,38,1,2,34,1,1,41,1,3
3,14,4,10,6,3,3,2,0,18.5,2,4,13.5,2,3,42,1,1,40,1,2,40,1,1,16.5,2,3
0,14,14,0,6,6,0,1,3.14706E+14,30,1,4,30,1,3,46,1,1,41,1,2,32,1,1,34,1,3
0,14,14,0,6,6,0,1,3.09118E+14,30,1,4,34,1,3,44,1,1,35,1,2,44,1,1,43,1,3
0,14,14,0,6,6,0,1,4.64706E+14,34,1,4,31,1,3,45,1,1,36,1,2,37,1,1,35,1,3
1,14,11,3,6,5,1,1,2.34706E+14,31,1,4,24,2,3,40,1,1,35,1,2,40,1,1,39,1,3
0,14,14,0,6,6,0,1,3.17647E+14,38,1,4,30,1,3,43,1,1,41,1,2,42,1,1,38,1,3
1,14,14,0,6,5,1,1,2.61176E+14,30,1,4,29.5,2,3,43,1,1,41,1,2,30,1,1,43,1,3
0,14,14,0,6,6,0,1,2.91176E+14,33,1,4,42,1,3,44,1,1,32,1,2,43,1,1,42,1,3
0,14,14,0,6,6,0,1,3.20588E+14,35,1,4,36,1,3,43,1,1,30,1,2,42,1,1,30,1,3
2,14,7,7,6,4,2,2,6.55882E+14,17.66666667,3,4,18.66666667,3,3,41,1,1,30,1,2,30,1,1,33,1,3
1,14,10,4,6,5,1,1,2.84412E+14,27.5,2,4,30,1,3,43,1,1,37,1,2,40,1,1,41,1,3
1,14,11,3,6,5,1,1,1.91471E+14,37,1,4,29,2,3,44,1,1,31,1,2,37,1,1,35,1,3
0,14,14,0,6,6,0,1,3.34706E+14,30,1,4,31,1,3,42,1,1,30,1,2,30,1,1,39,1,3
3,14,4,10,6,3,3,2,0.705882353,6,3,4,5.333333333,3,3,43,1,1,35,1,2,35,1,1,14.33333333,3,3
