GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
0;1;15;1;20;5;482.55;69.99;69.99;56.51;52.34;59.48;59.48;60.25;0;46.04;71.53;10;3;10;3;2008;2
0;2;20;1;122;18;499.31;78.22;78.22;64.0;61.18;64.21;64.21;67.71;0;48.41;71.53;10;6;10;3;2008;2
0;2;11;1;20;5;443.65;60.49;60.49;69.69;54.01;59.48;59.48;58.09;0;41.05;73.83;9;4;10;4;2008;1
0;1;20;1;90;30;460.6;65.16;65.16;58.93;59.25;64.21;64.21;53.95;0;35.44;69.48;10;6;10;2;2008;2
0;1;20;1;65;15;469.88;69.99;69.99;58.93;48.97;59.48;59.48;58.09;0;50.76;45.98;15;6;10;2;2008;1
0;1;21;1;65;15;472.66;72.55;72.55;54.12;52.34;59.48;59.48;62.54;0;43.59;83.41;20;7;10;1;2008;2
1;1;11;1;20;5;466.5;75.27;75.27;61.41;59.25;59.48;59.48;51.92;0;43.59;88.67;9;5;10;2;2008;3
0;0;1;0;0;0;507.0;67.54;67.54;61.41;54.01;61.76;61.76;58.09;0;60.41;83.41;10;5;10;3;2008;1
1;2;9;1;20;5;451.26;67.54;67.54;64.0;55.7;59.48;59.48;58.09;0;38.35;69.48;20;5;10;3;2008;2
0;2;0;1;20;5;496.04;55.71;55.71;64.0;63.27;59.48;59.48;62.54;0;53.1;71.53;9;5;10;3;2008;2
0;2;11;1;20;5;484.72;78.22;78.22;56.51;61.18;66.94;66.94;60.25;0;46.04;57.13;10;5;10;4;2008;1
0;1;11;1;20;5;458.0;60.49;60.49;64.0;47.22;64.21;64.21;58.09;0;48.41;61.22;10;5;10;2;2008;2
0;2;11;1;20;5;474.12;62.82;62.82;56.51;57.44;66.94;66.94;60.25;0;32.22;76.45;10;5;10;2;2008;1
0;0;10;0;0;0;457.32;58.13;58.13;66.74;61.18;59.48;59.48;53.95;0;46.04;73.83;13;5;10;2;2008;2
0;2;12;1;20;5;469.54;69.99;69.99;58.93;48.97;57.32;57.32;60.25;0;46.04;67.6;5;5;10;3;2008;2
0;2;11;1;20;5;475.1;67.54;67.54;58.93;61.18;64.21;64.21;55.99;0;43.59;79.55;7;5;10;3;2008;1
0;1;0;1;140;18;476.96;53.42;53.42;63.43;52.46;74.87;74.87;65.51;0;56.09;53.56;19;5;10;2;2008;1
0;1;12;1;20;5;354.43;44.48;44.48;54.12;41.37;47.14;47.14;38.26;0;35.44;40.88;8;5;7;2;2008;1
0;2;10;1;20;5;451.32;65.16;65.16;66.74;52.34;53.22;53.22;55.99;0;38.35;58.45;7;3;10;3;2008;2
0;0;20;0;0;0;472.69;72.55;72.55;66.74;54.01;51.21;51.21;60.25;0;48.41;40.88;20;3;10;2;2008;2
1;1;9;1;20;5;476.82;72.55;72.55;58.93;48.97;61.76;61.76;62.54;0;48.41;71.53;4;4;10;2;2008;2
0;2;1;1;20;5;475.78;69.99;69.99;66.74;54.01;55.25;55.25;62.54;0;43.59;54.57;7;4;10;2;2008;2
0;2;10;1;20;5;457.21;78.22;78.22;56.51;59.25;51.21;51.21;58.09;0;38.35;69.48;8;3;10;3;2008;2
1;0;10;0;0;0;468.28;75.87;75.87;58.17;53.9;65.33;65.33;48.51;0;48.54;51.96;7;3;10;3;2008;3
0;2;9;1;20;5;482.79;81.5;81.5;56.51;65.59;57.32;57.32;60.25;0;46.04;73.83;16;4;10;3;2008;3
0;0;10;0;0;0;389.1;62.82;62.82;46.84;41.37;49.19;49.19;43.37;0;41.05;57.13;9;3;7;3;2008;2
1;2;0;1;20;5;455.29;69.99;69.99;61.41;57.44;49.19;49.19;58.09;0;43.59;65.86;19;3;10;3;2008;3
0;2;20;1;122;18;473.44;67.54;67.54;61.41;65.59;59.48;59.48;60.25;0;43.59;88.67;5;6;10;4;2008;2
0;2;9;1;20;5;438.15;69.99;69.99;58.93;52.34;64.21;64.21;49.87;0;38.35;55.84;20;4;10;3;2008;2
0;1;10;1;20;5;470.68;62.82;62.82;61.41;54.01;57.32;57.32;53.95;0;48.41;57.13;20;3;10;2;2008;2
0;0;20;0;0;0;446.87;62.82;62.82;58.93;52.34;53.22;53.22;55.99;0;55.47;55.84;11;6;5;1;2008;2
0;1;9;1;20;5;430.29;72.55;72.55;46.84;55.7;51.21;51.21;55.99;0;50.76;48.43;20;4;4;3;2008;2
0;1;10;1;20;5;482.39;67.54;67.54;56.51;57.44;59.48;59.48;60.25;0;48.41;54.57;12;3;10;3;2008;2
0;2;10;1;20;5;471.05;62.82;62.82;69.69;55.7;59.48;59.48;60.25;0;43.59;54.57;20;3;10;3;2008;1
0;2;10;1;20;5;490.49;75.27;75.27;72.97;61.18;49.19;49.19;60.25;0;43.59;65.86;20;3;10;3;2008;1
0;2;13;1;20;5;410.43;60.49;60.49;58.93;48.97;51.21;51.21;53.95;0;50.76;44.74;19;1;4;4;2008;2
0;1;5;1;20;5;482.43;62.82;62.82;72.97;57.44;59.48;59.48;58.09;0;43.59;71.53;20;6;10;2;2008;
0;1;7;1;20;5;463.16;78.22;78.22;58.93;55.7;51.21;51.21;55.99;0;43.59;47.21;21;5;10;2;2008;2
0;1;20;1;181;15;492.98;72.55;72.55;72.97;52.34;70.06;70.06;53.95;0;38.35;55.84;10;5;10;1;2008;2
0;1;0;1;20;5;483.31;67.77;67.77;58.68;65.03;55.21;55.21;59.24;0;53.94;53.56;20;3;10;3;2008;2
0;1;6;1;20;5;480.69;69.99;69.99;66.74;45.4;59.48;59.48;65.0;0;46.04;64.23;4;5;10;2;2008;2
0;1;14;1;20;5;470.9;72.55;72.55;58.93;55.7;51.21;51.21;58.09;0;50.76;65.86;10;6;10;2;2008;1
0;2;4;1;20;5;461.56;69.99;69.99;61.41;57.44;61.76;61.76;58.09;0;48.41;49.65;10;4;10;2;2008;1
1;1;10;1;20;5;488.45;78.22;78.22;64.0;57.44;66.94;66.94;67.71;0;46.04;44.74;20;5;10;2;2008;2
0;2;7;1;20;5;485.27;72.55;72.55;56.51;57.44;57.32;57.32;65.0;0;48.41;83.41;10;3;10;3;2008;1
0;1;15;1;20;5;464.66;62.82;62.82;64.0;59.25;59.48;59.48;60.25;0;50.76;64.23;10;5;10;2;2008;2
0;1;14;1;20;5;467.75;78.22;78.22;66.74;61.18;57.32;57.32;53.95;0;53.1;49.65;10;2;10;3;2008;2
0;1;13;1;20;5;469.61;60.49;60.49;64.0;55.7;64.21;64.21;65.0;0;48.41;73.83;9;4;10;4;2008;1
0;1;19;1;20;5;450.04;69.99;69.99;64.0;55.7;53.22;53.22;60.25;0;46.04;42.2;10;5;10;1;2008;1
0;1;15;1;20;5;493.74;75.27;75.27;61.41;52.34;64.21;64.21;70.81;0;46.04;47.21;20;6;10;1;2008;2
0;1;20;1;181;15;482.48;72.55;72.55;58.93;52.34;57.32;57.32;62.54;0;50.76;71.53;16;6;10;3;2008;2
0;2;20;1;181;15;475.58;85.28;85.28;66.74;59.25;53.22;53.22;51.92;0;43.59;55.84;9;6;10;3;2008;2
0;2;21;1;20;5;469.34;81.5;81.5;49.32;48.97;59.48;59.48;55.99;0;46.04;97.34;12;5;10;3;2008;
0;1;20;1;120;15;448.7;85.28;85.28;56.51;55.7;53.22;53.22;58.09;0;35.44;59.81;13;6;10;3;2008;2
0;0;12;0;0;0;443.18;78.22;78.22;58.93;50.66;64.21;64.21;53.95;0;43.59;45.98;1;3;10;3;2008;2
0;0;0;0;0;0;463.52;53.2;53.2;58.93;52.34;55.25;55.25;65.0;0;50.76;0.0;20;6;5;2;2008;1
1;2;20;1;181;15;486.36;67.54;67.54;56.51;65.59;64.21;64.21;58.09;0;50.76;64.23;9;6;10;3;2008;3
1;2;15;1;20;5;459.46;81.5;81.5;61.41;61.18;59.48;59.48;55.99;0;35.44;71.53;20;5;10;3;2008;1
0;1;20;1;181;15;441.32;69.99;69.99;61.41;47.22;59.48;59.48;62.54;0;50.76;59.81;5;6;10;3;2008;2
0;2;21;1;153;18;460.18;72.55;72.55;54.12;47.22;64.21;64.21;58.09;0;48.41;88.67;16;7;10;4;2008;2
0;1;10;1;20;5;462.42;65.16;65.16;58.93;57.44;64.21;64.21;62.54;0;46.04;42.2;14;3;10;2;2008;2
1;2;20;1;227;15;476.68;72.55;72.55;61.41;61.18;66.94;66.94;58.09;0;48.41;62.69;20;6;10;3;2008;2
0;1;0;1;124;23;421.29;55.8;55.8;53.97;49.26;49.43;49.43;53.71;0;51.78;45.71;6;4;4;3;2008;2
0;0;0;0;0;0;471.6;72.55;72.55;54.12;50.66;59.48;59.48;55.99;0;50.76;0.0;15;3;10;3;2008;2
0;0;10;0;0;0;517.02;61.77;61.77;65.82;72.77;66.73;66.73;65.87;0;60.73;71.1;20;3;10;3;2008;1
0;0;20;0;0;0;451.99;75.27;75.27;56.51;50.66;57.32;57.32;58.09;0;46.04;76.45;16;6;10;3;2008;2
0;0;20;0;0;0;457.14;70.5;70.5;59.29;58.05;51.1;51.1;51.64;0;51.72;55.3;12;3;10;3;2008;1
0;0;10;0;0;0;426.6;69.99;69.99;61.41;47.22;57.32;57.32;55.99;0;41.05;44.74;13;3;10;3;2008;2
0;1;10;1;20;5;477.31;67.77;67.77;65.89;55.66;55.21;55.21;65.51;0;56.09;74.16;15;3;10;3;2008;1
0;2;9;1;20;5;458.17;72.55;72.55;58.93;57.44;61.76;61.76;60.25;0;35.44;54.57;10;4;10;3;2008;2
0;2;10;1;20;5;450.4;58.13;58.13;58.93;50.66;70.06;70.06;55.99;0;41.05;65.86;11;3;7;3;2008;2
0;1;20;1;122;18;487.75;70.42;70.42;49.04;60.85;55.21;55.21;61.19;0;58.26;53.56;4;6;10;2;2008;2
0;2;10;1;20;5;485.74;58.15;58.15;58.68;59.03;57.14;57.14;70.86;0;53.94;62.81;20;2;10;3;2008;2
0;2;9;1;20;5;510.79;75.27;75.27;61.41;59.25;59.48;59.48;58.09;0;38.35;59.81;3;4;10;3;2008;2
1;2;12;1;20;5;468.8;58.15;58.15;63.43;49.26;61.16;61.16;61.19;0;60.49;57.84;10;3;10;4;2008;2
0;0;4;0;0;0;482.83;95.12;95.12;56.8;54.13;55.39;55.39;57.44;0;49.11;54.31;10;1;10;3;2008;2
1;2;20;1;108;19;475.13;69.99;69.99;54.12;68.28;59.48;59.48;55.99;0;55.47;48.43;13;5;10;4;2008;2
0;0;20;0;0;0;444.47;85.34;85.34;67.15;52.36;48.93;48.93;45.62;0;46.47;45.2;1;6;10;3;2008;3
0;2;10;1;20;5;475.79;85.28;85.28;56.51;50.66;59.48;59.48;65.0;0;50.76;73.83;13;4;10;4;2008;1
1;0;20;0;0;0;448.89;67.05;67.05;59.29;54.13;70.67;70.67;47.7;0;59.65;47.79;20;6;10;2;2008;2
0;0;5;0;0;0;462.79;62.82;62.82;58.93;52.34;53.22;53.22;53.95;0;43.59;47.21;10;6;10;1;2008;
0;0;14;0;0;0;472.04;67.05;67.05;61.82;56.01;55.39;55.39;63.75;0;65.4;61.22;10;2;10;3;2008;1
0;1;14;1;20;5;449.14;72.55;72.55;51.73;52.34;59.48;59.48;62.54;0;46.04;53.32;10;2;10;3;2008;2
0;2;0;1;90;30;466.95;60.48;60.48;58.68;54.05;61.16;61.16;57.36;0;51.78;49.6;20;6;10;3;2008;2
1;1;6;1;20;5;446.8;60.48;60.48;61.03;49.26;57.14;57.14;48.15;0;47.3;60.2;18;5;10;2;2008;2
0;2;20;2;20;5;489.7;75.87;75.87;55.86;57.72;60.55;60.55;66.32;0;55.42;62.57;7;3;10;4;2008;1
0;0;20;0;0;0;463.41;63.9;63.9;51.8;60.31;59.82;59.82;61.53;0;59.93;37.38;20;6;10;1;2008;2
1;0;20;0;0;0;476.14;95.12;95.12;56.78;55.79;62.45;62.45;58.29;0;49.11;57.27;8;2;10;3;2008;2
1;0;1;0;0;0;460.68;60.49;60.49;64.0;52.34;57.32;57.32;62.54;0;48.41;65.86;11;3;10;3;2008;2
1;0;11;0;0;0;488.34;66.94;66.94;66.96;60.21;55.7;55.7;58.29;0;65.4;46.92;20;1;10;4;2008;2
