CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
1,17,0,17,1,0,1,2,0,0,0,2,25,2,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,13,4,6,5,1,1,36.25,0,0,2,30,1,2,25,2,2,40,1,3,40,1,3,35,1,2,40,1,3
3,17,10,7,6,3,3,2,35.5,0,0,2,27.5,2,2,45,1,2,28,2,3,40,1,3,30,2,2,40,1,3
0,17,5,12,2,2,0,2,0,0,0,2,35,1,2,0,0,2,0,0,3,30,1,3,0,0,2,0,0,3
2,17,13,4,6,4,2,1,3.68333E+14,0,0,2,30,1,2,25,2,2,30,2,3,35,1,3,30,1,2,35,1,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
3,17,12,5,7,4,3,2,37.75,45,1,2,30,1,2,32.5,2,2,29.33333333,3,3,45,1,3,27.5,2,2,40,1,3
3,17,8,9,6,3,3,2,6.41667E+14,0,0,2,35,1,2,21.66666667,3,2,21,2,3,45,1,3,25,4,2,35,1,3
0,17,0,17,1,1,0,2,2.5,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,3.10833E+14,0,0,2,35,1,2,30,1,2,35,1,3,35,1,3,30,1,2,45,1,3
3,17,8,9,6,3,3,2,3.34167E+14,0,0,2,40,1,2,23.33333333,3,2,27.5,2,3,40,1,3,22.5,2,2,45,1,3
