NOTA_EI_CINCO,VECES_EI_CINCO,CREDITOS_EI_CINCO,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_EI_SEIS,VECES_EI_SEIS,CREDITOS_EI_SEIS,NOTA_ORD_TER,VECES_ORD_TER,CREDITOS_ORD_TER,NOTA_TG_UNO,VECES_TG_UNO,CREDITOS_TG_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,ESTADO NUEVE,PROMEDIO_DIEZ
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,3,42,1,2,0,0,3,35,1,3,35,1,2,0,13,10,3,4,4,1,1,1,39.18181818
33,1,3,42,1,2,41,1,3,42,1,3,38,1,2,0,13,13,0,5,5,0,1,1,41.125
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,3,46,1,2,0,0,3,37,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.36363636
30,1,3,33,1,2,32,2,3,43,3,3,0,0,2,2,13,11,2,5,4,1,2,3,30.875
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
42,1,3,38,1,2,0,0,3,35,1,3,47,1,2,0,13,10,3,4,4,1,1,1,42.72727273
31,1,3,30,1,2,30,1,3,45,1,3,50,1,2,0,13,13,0,5,5,0,1,1,39.54545455
32,1,3,38,1,2,0,0,3,40,1,3,50,1,2,0,13,10,3,4,4,1,1,1,43.54545455
31,1,3,47,1,2,30,2,3,34,1,3,50,1,2,1,13,13,0,5,5,0,1,1,41.90909091
34,1,3,49,1,2,0,0,3,38,1,3,38,1,2,0,13,10,3,4,4,1,1,1,42.25
38,1,3,41,1,2,0,0,3,45,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.18181818
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,3,47,1,2,0,0,3,44,1,3,42,1,2,0,13,10,3,4,4,1,1,1,42.90909091
36,1,3,47,1,2,0,0,3,34,1,3,50,1,2,0,13,10,3,4,4,1,1,1,41.625
43,1,3,44,1,2,37,1,3,46,1,3,46,1,2,0,13,13,0,5,5,0,1,1,40
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,3,0,0,2,40,1,3,43,1,3,48,1,2,0,13,11,2,4,4,1,1,1,42.375
37,1,3,44,1,2,37,1,3,41,1,3,48,1,2,0,13,13,0,5,5,0,1,1,43.45454545
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,3,50,1,2,35,1,3,36,1,3,47,1,2,0,13,13,0,5,5,0,1,1,41.18181818
36,1,3,43,1,2,37,1,3,46,1,3,45,1,2,0,13,13,0,5,5,0,1,1,43.45454545
