CAR_TRES,NCC_TRES,NCA_TRES,NCP_TRES,NAC_TRES,NAA_TRES,NAP_TRES,EPA_TRES,PROMEDIO_CUATRO,NOTA_SEGUNDA_LENGUA_DOS,VECES_SEGUNDA_LENGUA_DOS,CREDITOS_SEGUNDA_LENGUA_DOS,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_FISICA_DOS,VECES_FISICA_DOS,CREDITOS_FISICA_DOS,NOTA_MULTIVARIADO,VECES_MULTIVARIADO,CREDITOS_MULTIVARIADO,NOTA_ECUACIONES,VECES_ECUACIONES,CREDITOS_ECUACIONES,NOTA_TGS,VECES_TGS,CREDITOS_TGS,NOTA_PROG_AVANZADA,VECES_PROG_AVANZADA,CREDITOS_PROG_AVANZADA
0,18,18,0,7,7,0,1,28.54166667,42,1,2,45,1,2,43,1,3,40,1,3,30,1,3,30,1,2,40,1,3
2,17,5,12,6,2,4,2,19.55555556,0,0,0,0,0,0,8,1,3,13.33333333,3,3,0,0,0,35,1,2,50,1,3
0,2,0,2,1,0,1,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,1,0,1,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,5,7,5,2,3,2,7.615384615,0,0,0,40,1,2,0,0,0,0,1,3,0,0,0,28.5,2,2,40,1,3
1,21,18,3,8,7,1,2,25.39130435,38,1,2,37,1,2,30.5,2,3,35,1,3,30,1,3,30,1,2,39,1,3
1,13,2,11,5,1,4,2,40,0,0,0,25,1,2,7,1,3,0,0,0,0,0,0,30,1,2,15.5,2,3
1,21,15,6,8,6,2,2,35.83333333,39,1,2,40,1,2,30,1,3,22.5,2,3,33,1,3,35,1,2,30,1,3
0,2,2,0,1,1,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,0,0,0
4,25,4,21,9,2,7,2,23.38888889,0,0,0,43,1,2,15.33333333,3,3,11.5,2,3,0,0,0,35,1,2,29.5,2,3
1,13,7,6,5,3,2,2,33.5,45,1,2,0,0,0,29,2,3,0,0,0,0,0,0,42,1,2,39,1,3
0,2,2,0,1,1,0,1,0,0,0,0,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
