NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1715;36.03333333333333;36.35294117647059;38.0;48.0;37.77777777777778;27.0;39.0;46;38.8;39.0;37.0;0.0;40.0;41.0;37.23529411764706;0;17;17;0;8;8;0;1;38.0;1;2;31.0;1;3;38.0;1;1;48.0;1;2;33.0;1;2;38.0;1;3;37.0;1;2;38;1;2;2;39.54545454545455
1716;34.6;35.8235294117647;34.0;40.0;35.88235294117647;39.0;39.0;0;35.2;37.0;34.0;0.0;38.0;34.0;35.88235294117647;1;19;17;2;8;8;0;1;32.0;1;2;37.0;1;3;37.0;1;1;37.0;2;2;33.0;1;2;34.0;1;3;35.0;1;2;43;1;2;2;35.333333333333336
1719;36.266666666666666;36.088235294117645;31.0;45.0;43.44444444444444;38.0;0.0;0;36.8;32.0;36.0;0.0;36.0;44.0;37.23529411764706;0;17;17;0;8;8;0;1;33.0;1;2;37.0;1;3;35.0;1;1;32.0;1;2;41.0;1;2;37.0;1;3;42.0;1;2;40;1;2;3;40.857142857142854
1720;35.28888888888889;35.411764705882355;32.0;46.0;37.388888888888886;34.0;42.0;0;40.8;41.0;43.0;0.0;44.0;41.0;38.0;0;10;10;0;5;5;0;1;34.0;1;2;40.0;1;3;46.0;1;1;33.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;40;1;2;3;40.0
1722;37.4;37.8235294117647;35.0;41.0;39.35294117647059;39.0;41.0;0;39.05882352941177;31.0;40.0;45.0;41.0;43.0;36.13333333333333;1;21;15;6;7;6;1;1;34.0;1;2;27.333333333333332;3;3;40.0;1;1;36.0;1;2;41.0;1;2;38.0;1;3;0.0;0;2;42;1;2;2;38.6
1725;34.266666666666666;37.46666666666667;34.0;0.0;37.294117647058826;35.0;38.0;0;37.94117647058823;33.0;40.0;40.0;40.0;46.0;36.588235294117645;0;17;17;0;8;8;0;1;37.0;1;2;38.0;1;3;36.0;1;1;35.0;1;2;40.0;1;2;32.0;1;3;38.0;1;2;38;1;2;2;38.333333333333336
1727;36.1;35.88235294117647;34.0;45.0;40.111111111111114;39.0;43.0;0;37.0;32.0;38.0;50.0;39.0;0.0;36.3125;0;15;15;0;7;7;0;1;39.0;1;2;35.0;1;3;44.0;1;1;42.0;1;2;37.0;1;2;42.0;1;3;35.0;1;2;0;0;2;2;38.166666666666664
1730;41.266666666666666;39.88235294117647;32.0;45.0;40.0;45.0;37.0;0;41.23529411764706;32.0;40.0;50.0;34.0;47.0;35.470588235294116;0;17;17;0;8;8;0;1;37.0;1;2;34.0;1;3;38.0;1;1;30.0;1;2;40.0;1;2;31.0;1;3;36.0;1;2;42;1;2;3;41.53846153846154
1731;34.388888888888886;34.64705882352941;33.0;44.0;33.470588235294116;35.0;30.0;0;33.8235294117647;30.0;34.0;38.0;44.0;37.0;32.15625;1;18;15;3;7;7;0;1;32.0;1;2;31.5;2;3;32.0;1;1;30.0;1;2;39.0;1;2;34.0;1;3;42.0;1;2;0;0;2;2;35.4
1733;37.46666666666667;38.76470588235294;32.0;48.0;43.77777777777778;45.0;0.0;48;42.05882352941177;31.0;43.0;50.0;47.0;42.0;39.8235294117647;0;17;17;0;8;8;0;1;39.0;1;2;35.0;1;3;41.0;1;1;47.0;1;2;42.0;1;2;39.0;1;3;34.0;1;2;45;1;2;3;43.76923076923077
