NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_EI_DOS,VECES_EI_DOS,CREDITOS_EI_DOS,NOTA_GEO_SAL,VECES_GEO_SAL,CREDITOS_GEO_SAL,NOTA_PDI,VECES_PDI,CREDITOS_PDI,NOTA_PROCC,VECES_PROCC,CREDITOS_PROCC,NOTA_AVAP,VECES_AVAP,CREDITOS_AVAP,NOTA_ECONOMET,VECES_ECONOMET,CREDITOS_ECONOMET,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,ESTADO SIETE,PROMEDIO_OCHO
43,1,2,30,1,2,35,1,3,34,1,3,40,1,2,38,1,2,42,1,2,0,16,16,0,7,7,0,1,1,40.57142857
48,1,2,41,1,2,36,1,3,32,1,3,46,1,2,31,1,2,35,1,2,0,16,16,0,7,7,0,1,1,36.28571429
44,1,2,43,1,2,42,1,3,42,1,3,41,1,2,37,1,2,43,2,2,1,16,16,0,7,7,0,1,1,39.5
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
35,1,2,37,1,2,38,1,3,42,1,3,43,1,2,39,1,2,40,1,2,0,16,16,0,7,7,0,1,1,39.85714286
43,1,2,47,1,2,32,1,3,42,1,3,40,1,2,32,1,2,40,1,2,0,16,16,0,7,7,0,1,1,35.42857143
43,1,2,43,1,2,30,1,3,43,1,3,42,1,2,38,1,2,39,1,2,0,16,16,0,7,7,0,1,1,39.71428571
45,1,2,35,1,2,30,1,3,34,1,3,48,1,2,36,1,2,36,1,2,0,16,16,0,7,7,0,1,1,35.78571429
47,1,2,36,1,2,44,1,3,31,1,3,49,1,2,38,2,2,39,2,2,2,16,16,0,7,7,0,1,1,37.78571429
33,1,2,47,1,2,30,1,3,36,1,3,39,1,2,43,1,2,30,1,2,0,16,16,0,7,7,0,1,1,35.64285714
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,36,1,2,48,1,3,37,1,3,39,1,2,38,1,2,39,3,2,1,16,16,0,7,7,0,2,3,38.42857143
35,1,2,36,1,2,32,1,3,37,1,3,40,1,2,38,1,2,35,1,2,0,16,16,0,7,7,0,1,1,38.35714286
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
43,1,2,39,1,2,32,1,3,43,1,3,37,1,2,34,1,2,31,1,2,0,16,16,0,7,7,0,1,1,35.71428571
47,2,2,39,1,2,43,1,3,30,1,3,0,0,2,36,1,2,36,1,2,1,16,14,2,6,6,1,1,1,28.71428571
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
45,1,2,44,1,2,48,1,3,36,1,3,49,1,2,30,1,2,38,2,2,1,16,16,0,7,7,0,1,1,38
42,1,2,41,1,2,36,1,3,36,2,3,40,1,2,38,1,2,40,2,2,2,16,16,0,7,7,0,1,1,34.71428571
45,1,2,33,1,2,35,1,3,43,1,3,40,1,2,36,1,2,34,1,2,0,16,16,0,7,7,0,1,1,36.14285714
33,1,2,43,1,2,37,1,3,31,1,3,49,1,2,33,1,2,40,2,2,1,16,16,0,7,7,0,1,1,33.21428571
44,1,2,30,1,2,42,1,3,37,1,3,41,1,2,39,1,2,43,1,2,0,16,16,0,7,7,0,1,1,37.57142857
45,1,2,38,1,2,35,1,3,44,1,3,45,1,2,33,1,2,42,1,2,0,16,16,0,7,7,0,1,1,38.42857143
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
37,1,2,42,1,2,37,1,3,40,1,3,38,1,2,41,1,2,41,1,2,0,16,16,0,7,7,0,1,1,37.64285714
42,1,2,39,1,2,39,1,3,33,2,3,49,1,2,39,1,2,32,1,2,1,16,16,0,7,7,0,1,1,36.14285714
45,1,2,44,1,2,42,1,3,36,1,3,37,1,2,38,1,2,45,2,2,1,16,16,0,7,7,0,1,1,40.07142857
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,32,1,2,39,1,3,32,1,3,46,1,2,42,1,2,37,1,2,0,16,16,0,7,7,0,1,1,35.07142857
34,1,2,39,1,2,37,1,3,31,1,3,37,1,2,33,1,2,31,1,2,0,16,16,0,7,7,0,1,1,34.07142857
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
48,1,2,44,1,2,44,1,3,35,1,3,47,1,2,32,1,2,36,1,2,0,16,16,0,7,7,0,1,1,37.57142857
35,1,2,45,1,2,38,1,3,43,1,3,43,1,2,40,1,2,35,1,2,0,16,16,0,7,7,0,1,1,40.5
31,1,2,44,1,2,41,1,3,34,1,3,48,1,2,37,1,2,39,1,2,0,16,16,0,7,7,0,1,1,36.78571429
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
45,1,2,35,1,2,44,1,3,38,1,3,48,1,2,40,1,2,37,2,2,1,16,16,0,7,7,0,1,1,37.5
40,1,2,42,1,2,45,1,3,31,1,3,38,1,2,38,1,2,34,1,2,0,16,16,0,7,7,0,1,1,38.92857143
39,1,2,45,1,2,38,1,3,44,1,3,45,1,2,41,1,2,44,1,2,0,16,16,0,7,7,0,1,1,41.5
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
47,1,2,35,1,2,46,1,3,44,1,3,36,1,2,36,1,2,33,1,2,0,16,16,0,7,7,0,1,1,37.42857143
34,1,2,47,1,2,39,1,3,38,1,3,50,1,2,39,1,2,32,1,2,0,16,16,0,7,7,0,1,1,39.35714286
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,2,0,0,2,0,0,3,43,2,3,0,0,2,0,0,2,0,0,2,1,16,3,13,1,1,6,2,3,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0
37,1,2,44,1,2,48,1,3,36,1,3,50,1,2,36,1,2,40,1,2,0,16,16,0,7,7,0,1,1,38.07142857
