METRICA|VALOR|MODELO|TIPO_DE_DATOS
No tiene Hiperparametros|No tiene hiperparametros|NaiveBayes|Hiperparametros del modelo
Precision|52.44|LDA|Prueba
Exhaustividad|64.18|LDA|Prueba
Puntuacion F1|50.94|LDA|Prueba
Exactitud|64.18|LDA|Prueba
Informacion Mutua Normalizada (NMI)|0.44|LDA|Prueba
Indice Kappa de Cohen|0.41|LDA|Prueba
Precision|62.58|LDA|Entrenamiento
Exhaustividad|61.99|LDA|Entrenamiento
Puntuacion F1|48.88|LDA|Entrenamiento
Exactitud|61.99|LDA|Entrenamiento
Informacion Mutua Normalizada (NMI)|1.18|LDA|Entrenamiento
Indice Kappa de Cohen|2.91|LDA|Entrenamiento
Mejores Hiperparametros|covariance_estimator: None, n_components: 1, priors: None, shrinkage: 1, solver: lsqr, store_covariance: False, tol: 0.001|LDA|Hiperparametros del modelo
Precision|57.09|Bagging|Prueba
Exhaustividad|63.35|Bagging|Prueba
Puntuacion F1|56.95|Bagging|Prueba
Exactitud|63.35|Bagging|Prueba
Informacion Mutua Normalizada (NMI)|0.76|Bagging|Prueba
Indice Kappa de Cohen|7.27|Bagging|Prueba
Precision|98.06|Bagging|Entrenamiento
Exhaustividad|98.01|Bagging|Entrenamiento
Puntuacion F1|97.98|Bagging|Entrenamiento
Exactitud|98.01|Bagging|Entrenamiento
Informacion Mutua Normalizada (NMI)|88.47|Bagging|Entrenamiento
Indice Kappa de Cohen|96.01|Bagging|Entrenamiento
Mejores Hiperparametros|bootstrap: True, bootstrap_features: True, estimator: None, max_features: 0.75, max_samples: 0.85, n_estimators: 750, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|Bagging|Hiperparametros del modelo
Precision|55.5|RandomForest|Prueba
Exhaustividad|63.68|RandomForest|Prueba
Puntuacion F1|53.46|RandomForest|Prueba
Exactitud|63.68|RandomForest|Prueba
Informacion Mutua Normalizada (NMI)|0.22|RandomForest|Prueba
Indice Kappa de Cohen|2.57|RandomForest|Prueba
Precision|67.88|RandomForest|Entrenamiento
Exhaustividad|65.12|RandomForest|Entrenamiento
Puntuacion F1|55.56|RandomForest|Entrenamiento
Exactitud|65.12|RandomForest|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.16|RandomForest|Entrenamiento
Indice Kappa de Cohen|13.28|RandomForest|Entrenamiento
Mejores Hiperparametros|bootstrap: True, ccp_alpha: 0.0, class_weight: None, criterion: entropy, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 15, min_samples_split: 2, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|RandomForest|Hiperparametros del modelo
Precision|60.72|ExtraTrees|Prueba
Exhaustividad|65.34|ExtraTrees|Prueba
Puntuacion F1|57.32|ExtraTrees|Prueba
Exactitud|65.34|ExtraTrees|Prueba
Informacion Mutua Normalizada (NMI)|1.8|ExtraTrees|Prueba
Indice Kappa de Cohen|9.3|ExtraTrees|Prueba
Precision|86.27|ExtraTrees|Entrenamiento
Exhaustividad|82.42|ExtraTrees|Entrenamiento
Puntuacion F1|79.73|ExtraTrees|Entrenamiento
Exactitud|82.42|ExtraTrees|Entrenamiento
Informacion Mutua Normalizada (NMI)|43.63|ExtraTrees|Entrenamiento
Indice Kappa de Cohen|60.51|ExtraTrees|Entrenamiento
Mejores Hiperparametros|bootstrap: False, ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: None, max_features: sqrt, max_leaf_nodes: None, max_samples: None, min_impurity_decrease: 0.0, min_samples_leaf: 2, min_samples_split: 5, min_weight_fraction_leaf: 0.0, monotonic_cst: None, n_estimators: 100, n_jobs: None, oob_score: False, random_state: None, verbose: 0, warm_start: False|ExtraTrees|Hiperparametros del modelo
Precision|41.4|AdaBoost|Prueba
Exhaustividad|64.34|AdaBoost|Prueba
Puntuacion F1|50.39|AdaBoost|Prueba
Exactitud|64.34|AdaBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Prueba
Indice Kappa de Cohen|0.0|AdaBoost|Prueba
Precision|37.55|AdaBoost|Entrenamiento
Exhaustividad|61.28|AdaBoost|Entrenamiento
Puntuacion F1|46.57|AdaBoost|Entrenamiento
Exactitud|61.28|AdaBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.0|AdaBoost|Entrenamiento
Indice Kappa de Cohen|0.0|AdaBoost|Entrenamiento
Mejores Hiperparametros|algorithm: SAMME.R, estimator: None, learning_rate: 0.0015, n_estimators: 36, random_state: None|AdaBoost|Hiperparametros del modelo
Precision|57.53|GradientBoosting|Prueba
Exhaustividad|64.34|GradientBoosting|Prueba
Puntuacion F1|53.39|GradientBoosting|Prueba
Exactitud|64.34|GradientBoosting|Prueba
Informacion Mutua Normalizada (NMI)|0.49|GradientBoosting|Prueba
Indice Kappa de Cohen|3.26|GradientBoosting|Prueba
Precision|72.63|GradientBoosting|Entrenamiento
Exhaustividad|64.34|GradientBoosting|Entrenamiento
Puntuacion F1|53.75|GradientBoosting|Entrenamiento
Exactitud|64.34|GradientBoosting|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.72|GradientBoosting|Entrenamiento
Indice Kappa de Cohen|10.66|GradientBoosting|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, criterion: friedman_mse, init: None, learning_rate: 0.01, loss: log_loss, max_depth: 3, max_features: None, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 2, min_weight_fraction_leaf: 0.0, n_estimators: 200, n_iter_no_change: None, random_state: None, subsample: 1.0, tol: 0.0001, validation_fraction: 0.1, verbose: 0, warm_start: False|GradientBoosting|Hiperparametros del modelo
Precision|53.77|XGB|Prueba
Exhaustividad|61.86|XGB|Prueba
Puntuacion F1|54.38|XGB|Prueba
Exactitud|61.86|XGB|Prueba
Informacion Mutua Normalizada (NMI)|0.35|XGB|Prueba
Indice Kappa de Cohen|2.32|XGB|Prueba
Precision|77.84| XGB|Entrenamiento
Exhaustividad|71.1| XGB|Entrenamiento
Puntuacion F1|65.68| XGB|Entrenamiento
Exactitud|71.1| XGB|Entrenamiento
Informacion Mutua Normalizada (NMI)|18.96| XGB|Entrenamiento
Indice Kappa de Cohen|31.23| XGB|Entrenamiento
Mejores Hiperparametros|objective: multi:softprob, base_score: None, booster: None, callbacks: None, colsample_bylevel: None, colsample_bynode: None, colsample_bytree: 0.9, device: None, early_stopping_rounds: None, enable_categorical: False, eval_metric: None, feature_types: None, gamma: None, grow_policy: None, importance_type: None, interaction_constraints: None, learning_rate: None, max_bin: None, max_cat_threshold: None, max_cat_to_onehot: None, max_delta_step: None, max_depth: None, max_leaves: None, min_child_weight: None, missing: nan, monotone_constraints: None, multi_strategy: None, n_estimators: 5, n_jobs: None, num_parallel_tree: None, random_state: None, reg_alpha: 0.2, reg_lambda: 0.12, sampling_method: None, scale_pos_weight: None, subsample: None, tree_method: None, validate_parameters: None, verbosity: None, loss: log_loss, max_features: sqrt|XGB|Hiperparametros del modelo
Precision|58.28|CatBoost|Prueba
Exhaustividad|64.51|CatBoost|Prueba
Puntuacion F1|53.48|CatBoost|Prueba
Exactitud|64.51|CatBoost|Prueba
Informacion Mutua Normalizada (NMI)|0.62|CatBoost|Prueba
Indice Kappa de Cohen|3.57|CatBoost|Prueba
Precision|64.96|CatBoost|Entrenamiento
Exhaustividad|63.49|CatBoost|Entrenamiento
Puntuacion F1|52.47|CatBoost|Entrenamiento
Exactitud|63.49|CatBoost|Entrenamiento
Informacion Mutua Normalizada (NMI)|3.3|CatBoost|Entrenamiento
Indice Kappa de Cohen|8.19|CatBoost|Entrenamiento
Mejores Hiperparametros|learning_rate: 0.01, depth: 6, l2_leaf_reg: 42, border_count: 53, thread_count: 4, verbose: 0|CatBoost|Hiperparametros del modelo
Precision|56.13|LGBM|Prueba
Exhaustividad|63.35|LGBM|Prueba
Puntuacion F1|55.09|LGBM|Prueba
Exactitud|63.35|LGBM|Prueba
Informacion Mutua Normalizada (NMI)|0.42|LGBM|Prueba
Indice Kappa de Cohen|4.36|LGBM|Prueba
Precision|65.48|LGBM|Entrenamiento
Exhaustividad|65.48|LGBM|Entrenamiento
Puntuacion F1|57.21|LGBM|Entrenamiento
Exactitud|65.48|LGBM|Entrenamiento
Informacion Mutua Normalizada (NMI)|6.86|LGBM|Entrenamiento
Indice Kappa de Cohen|15.56|LGBM|Entrenamiento
Mejores Hiperparametros|boosting_type: gbdt, class_weight: None, colsample_bytree: 0.8, importance_type: split, learning_rate: 0.1, max_depth: -1, min_child_samples: 200, min_child_weight: 0.001, min_split_gain: 0.0, n_estimators: 100, n_jobs: None, num_leaves: 31, objective: multiclass, random_state: 42, reg_alpha: 0.0, reg_lambda: 0.0, subsample: 1.0, subsample_for_bin: 200000, subsample_freq: 0, verbose: -1|LGBM|Hiperparametros del modelo
Precision|56.84|VotingHard|Prueba
Exhaustividad|64.18|VotingHard|Prueba
Puntuacion F1|53.29|VotingHard|Prueba
Exactitud|64.18|VotingHard|Prueba
Informacion Mutua Normalizada (NMI)|0.39|VotingHard|Prueba
Indice Kappa de Cohen|2.95|VotingHard|Prueba
Precision|73.17|VotingHard|Entrenamiento
Exhaustividad|66.55|VotingHard|Entrenamiento
Puntuacion F1|57.27|VotingHard|Entrenamiento
Exactitud|66.55|VotingHard|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.36|VotingHard|Entrenamiento
Indice Kappa de Cohen|16.74|VotingHard|Entrenamiento
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0015, 'n_estimators': 36, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}, Estimador: XGB, Hiperparametros: {'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 5, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.2, 'reg_lambda': 0.12, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'loss': 'log_loss', 'max_features': 'sqrt'}|VotingHard|Hiperparametros del modelo
Precision|56.11|VotingSoft|Prueba
Exhaustividad|64.01|VotingSoft|Prueba
Puntuacion F1|53.69|VotingSoft|Prueba
Exactitud|64.01|VotingSoft|Prueba
Informacion Mutua Normalizada (NMI)|0.57|VotingSoft|Prueba
Indice Kappa de Cohen|3.32|VotingSoft|Prueba
Precision|73.82|VotingSoft|Entrenamiento
Exhaustividad|69.47|VotingSoft|Entrenamiento
Puntuacion F1|62.42|VotingSoft|Entrenamiento
Exactitud|69.47|VotingSoft|Entrenamiento
Informacion Mutua Normalizada (NMI)|15.72|VotingSoft|Entrenamiento
Indice Kappa de Cohen|25.69|VotingSoft|Entrenamiento
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0015, 'n_estimators': 36, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|VotingSoft|Hiperparametros del modelo
Precision|59.62|StackingLineal|Prueba
Exhaustividad|64.84|StackingLineal|Prueba
Puntuacion F1|54.83|StackingLineal|Prueba
Exactitud|64.84|StackingLineal|Prueba
Informacion Mutua Normalizada (NMI)|1.03|StackingLineal|Prueba
Indice Kappa de Cohen|5.55|StackingLineal|Prueba
Precision|79.32|StackingLineal|Entrenamiento
Exhaustividad|78.51|StackingLineal|Entrenamiento
Puntuacion F1|74.99|StackingLineal|Entrenamiento
Exactitud|78.51|StackingLineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|35.16|StackingLineal|Entrenamiento
Indice Kappa de Cohen|50.5|StackingLineal|Entrenamiento
Mejores Hiperparametros|Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0015, 'n_estimators': 36, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|StackingLineal|Hiperparametros del modelo
Precision|56.5|Stackingnolineal|Prueba
Exhaustividad|62.85|Stackingnolineal|Prueba
Puntuacion F1|56.74|Stackingnolineal|Prueba
Exactitud|62.85|Stackingnolineal|Prueba
Informacion Mutua Normalizada (NMI)|0.6|Stackingnolineal|Prueba
Indice Kappa de Cohen|6.62|Stackingnolineal|Prueba
Precision|81.66|Stackingnolineal|Entrenamiento
Exhaustividad|84.77|Stackingnolineal|Entrenamiento
Puntuacion F1|82.46|Stackingnolineal|Entrenamiento
Exactitud|84.77|Stackingnolineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|44.24|Stackingnolineal|Entrenamiento
Indice Kappa de Cohen|67.0|Stackingnolineal|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}|Stackingnolineal|Hiperparametros del modelo
Precision|56.37|VotingWeighted|Prueba
Exhaustividad|64.01|VotingWeighted|Prueba
Puntuacion F1|53.43|VotingWeighted|Prueba
Exactitud|64.01|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|0.33|VotingWeighted|Prueba
Indice Kappa de Cohen|2.91|VotingWeighted|Prueba
Precision|73.16|VotingWeighted|Entrenamiento
Exhaustividad|66.55|VotingWeighted|Entrenamiento
Puntuacion F1|57.34|VotingWeighted|Entrenamiento
Exactitud|66.55|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|11.14|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|16.78|VotingWeighted|Entrenamiento
Precision|57.66|SuperAprendiz|Prueba
Exhaustividad|64.18|SuperAprendiz|Prueba
Puntuacion F1|55.04|SuperAprendiz|Prueba
Exactitud|64.18|SuperAprendiz|Prueba
Informacion Mutua Normalizada (NMI)|0.66|SuperAprendiz|Prueba
Indice Kappa de Cohen|5.1|SuperAprendiz|Prueba
Precision|80.06|SuperAprendiz|Entrenamiento
Exhaustividad|80.78|SuperAprendiz|Entrenamiento
Puntuacion F1|77.84|SuperAprendiz|Entrenamiento
Exactitud|80.78|SuperAprendiz|Entrenamiento
Informacion Mutua Normalizada (NMI)|37.8|SuperAprendiz|Entrenamiento
Indice Kappa de Cohen|56.6|SuperAprendiz|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 15, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.85, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 4, 'splitter': 'best'}, Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}|SuperAprendiz|Hiperparametros del modelo
Precision|49.78|SuperAprendizdoscapas|Prueba
Exhaustividad|64.34|SuperAprendizdoscapas|Prueba
Puntuacion F1|50.78|SuperAprendizdoscapas|Prueba
Exactitud|64.34|SuperAprendizdoscapas|Prueba
