iter	Passed	Remaining
689	2186	982
690	2189	979
691	2192	975
692	2195	972
693	2198	969
694	2202	966
695	2205	963
696	2209	960
697	2212	957
698	2216	954
699	2219	951
700	2223	948
701	2226	945
702	2230	942
703	2233	939
704	2236	936
705	2239	932
706	2243	929
707	2246	926
708	2250	923
709	2253	920
710	2256	917
711	2260	914
712	2264	911
713	2268	908
714	2271	905
715	2274	902
716	2277	899
717	2281	896
718	2284	892
719	2287	889
720	2291	886
721	2294	883
722	2298	880
723	2301	877
724	2304	873
725	2307	870
726	2310	867
727	2313	864
728	2317	861
729	2320	858
730	2323	854
731	2326	851
732	2329	848
733	2333	845
734	2336	842
735	2340	839
736	2344	836
737	2348	833
738	2351	830
739	2354	827
740	2358	824
741	2362	821
742	2366	818
743	2370	815
744	2373	812
745	2377	809
746	2380	806
747	2384	803
748	2387	800
749	2390	796
750	2393	793
751	2396	790
752	2399	787
753	2402	783
754	2406	780
755	2409	777
756	2412	774
757	2415	771
758	2417	767
759	2420	764
760	2423	761
761	2427	758
762	2430	754
763	2433	751
764	2436	748
765	2439	745
766	2442	742
767	2445	738
768	2448	735
769	2452	732
770	2455	729
771	2458	726
772	2462	723
773	2464	719
774	2467	716
775	2470	713
776	2474	710
777	2476	706
778	2479	703
779	2482	700
780	2485	696
781	2488	693
782	2491	690
783	2494	687
784	2497	683
785	2500	680
786	2502	677
787	2506	674
788	2509	671
789	2511	667
790	2514	664
791	2517	661
792	2520	657
793	2523	654
794	2526	651
795	2529	648
796	2532	645
797	2536	642
798	2539	638
799	2542	635
800	2545	632
801	2548	629
802	2551	625
803	2554	622
804	2557	619
805	2560	616
806	2563	613
807	2565	609
808	2569	606
809	2572	603
810	2575	600
811	2578	596
812	2580	593
813	2583	590
814	2587	587
815	2589	583
816	2592	580
817	2595	577
818	2598	574
819	2601	571
820	2604	567
821	2607	564
822	2610	561
823	2612	558
824	2615	554
825	2619	551
826	2622	548
827	2625	545
828	2629	542
829	2632	539
830	2636	536
831	2639	532
832	2642	529
833	2646	526
834	2649	523
835	2652	520
836	2656	517
837	2659	514
838	2663	511
839	2667	508
840	2670	504
841	2674	501
842	2677	498
843	2680	495
844	2683	492
845	2687	489
846	2690	485
847	2693	482
848	2696	479
849	2699	476
850	2702	473
851	2706	470
852	2709	466
853	2711	463
854	2715	460
855	2718	457
856	2721	454
857	2724	450
858	2727	447
859	2730	444
860	2733	441
861	2736	438
862	2739	434
863	2742	431
864	2746	428
865	2749	425
866	2752	422
867	2755	419
868	2758	415
869	2761	412
870	2764	409
871	2767	406
872	2770	403
873	2773	399
874	2776	396
875	2779	393
876	2782	390
877	2785	387
878	2788	383
879	2791	380
880	2794	377
881	2797	374
882	2800	371
883	2803	367
884	2806	364
885	2809	361
886	2812	358
887	2815	355
888	2818	351
889	2821	348
890	2824	345
891	2827	342
892	2830	339
893	2833	335
894	2836	332
895	2839	329
896	2842	326
897	2845	323
898	2847	319
899	2850	316
900	2853	313
901	2856	310
902	2859	307
903	2862	303
904	2865	300
905	2868	297
906	2870	294
907	2873	291
908	2876	288
909	2880	284
910	2883	281
911	2886	278
912	2888	275
913	2891	272
914	2894	268
915	2897	265
916	2900	262
917	2902	259
918	2905	256
919	2908	252
920	2911	249
921	2914	246
922	2916	243
923	2919	240
924	2923	237
925	2925	233
926	2928	230
927	2931	227
928	2934	224
929	2937	221
930	2940	217
931	2942	214
932	2945	211
933	2948	208
934	2950	205
935	2953	201
936	2956	198
937	2959	195
938	2962	192
939	2965	189
940	2967	186
941	2970	182
942	2973	179
943	2976	176
944	2978	173
945	2981	170
946	2984	167
947	2987	163
948	2990	160
949	2993	157
950	2995	154
951	2998	151
952	3000	148
953	3003	144
954	3006	141
955	3009	138
956	3011	135
957	3014	132
958	3017	128
959	3020	125
960	3022	122
961	3025	119
962	3028	116
963	3030	113
964	3033	110
965	3036	106
966	3039	103
967	3042	100
968	3045	97
969	3047	94
970	3050	91
971	3052	87
972	3055	84
973	3058	81
974	3060	78
975	3063	75
976	3065	72
977	3069	69
978	3071	65
979	3074	62
980	3077	59
981	3080	56
982	3084	53
983	3087	50
984	3090	47
985	3093	43
986	3096	40
987	3099	37
988	3102	34
989	3105	31
990	3108	28
991	3112	25
992	3115	21
993	3118	18
994	3121	15
995	3124	12
996	3127	9
997	3130	6
998	3133	3
999	3136	0
